SampleID,CH4_ppm,CO_ppm,H2_ppm,CH4_mV.s,CO_mV.s,H2_mV.s
JCR-AMBIENT--A,2.5175316255262956,0.9812760086341624,0.8181262848281107,530.117,170.203,35.864
JCR-AMBIENT--B,2.5951718411054476,3.0125520181017436,0.6175544459071982,546.091,504.994,27.43
JCR-BLANK--A,2.069707878010562,0.015101632454259184,NA,437.98,10.96,NA
JCR-BLANK--B,1.5057105714130148,-0.032969551726353935,NA,321.941,3.037,NA
JCR-ROS-0.5hr-1,3.0506118536651607,10.341511575725209,0.71760255194707,639.795,1712.939,31.637
JCR-ROS-0.5hr-12,2.3720546446511483,1.7884568998395654,0.37251149733699657,500.186,303.241,17.126
JCR-ROS-0.5hr-15,2.3789175458905225,1.6729719926461044,0.8005756543889794,501.598,284.207,35.126
JCR-ROS-0.5hr-2,2.4954702170804604,1.0329511664867792,0.5387906410096334,525.578,178.72,24.118
JCR-ROS-0.5hr-3,2.2461359602258892,1.7297740154024974,0.46680451859872496,474.279,293.569,21.091
JCR-ROS-0.5hr-8,2.620518887821692,3.1148344897560127,0.5876137362556179,551.306,521.852,26.171
JCR-ROS-1h-1,2.837366153257016,1.4441560682483434,0.9303742193439641,595.921,246.494,40.584
JCR-ROS-1h-12,2.3860866530633817,2.0946551141577534,0.5310854861826977,503.073,353.708,23.794
JCR-ROS-1h-15,2.7400558517601956,1.705905273945154,1.1567488143982876,575.9,289.635,50.103
JCR-ROS-1h-2,2.1722820053163354,1.251871331525891,0.3507040066694038,459.084,214.802,16.209
JCR-ROS-1h-3,2.483834391608037,1.2694604218880765,0.61424883936107455,523.184,217.701,27.291
JCR-ROS-1h-8,2.4113462123700584,1.8656511035919243,0.5758657532787468,508.27,315.964,25.677
JCR-ROS-24h-1,3.0521137208627294,1.9920025374630927,0.5627146711204275,640.104,336.789,25.124
JCR-ROS-24h-12,2.132076680208614,1.0194392988646377,NA,450.812,176.493,NA
JCR-ROS-24h-15,3.111741250894345,3.79431094013931,0.913584591850703,652.372,633.842,39.878
JCR-ROS-24h-2,2.5375954047870155,1.1663892017870725,0.34261835036953303,534.245,200.713,15.869
JCR-ROS-24h-3,2.4195214247529386,1.0940367000385163,0.673416818402482,509.952,188.788,29.779
JCR-ROS-24h-8,2.607784609318037,1.7120332426467086,0.27346220766357937,548.686,290.645,12.961
JCR-ROS-48h-1,2.7219556788030927,4.966397199282945,0.7199806861529143,572.176,827.023,31.737
JCR-ROS-48h-12,2.197483239683301,0.7835307057420076,0.4449256839049569,464.269,137.611,20.171
JCR-ROS-48h-15,2.3144393250395754,2.913406338347181,0.4638556321834779,488.332,488.653,20.967
JCR-ROS-48h-2,2.5985935709018495,4.156486024992691,1.634563539036534,546.795,693.535,70.195
JCR-ROS-48h-3,2.297180003296645,2.4862262468913654,0.7421448969513836,484.781,418.246,32.669
JCR-ROS-48h-8,2.245888079232116,1.5071527999594763,NA,474.228,256.877,NA
JCR-ROS-6h-1,2.83577679864988,6.414721366360335,0.810468692685292,595.594,1065.733,35.542
JCR-ROS-6h-12,2.3378859508035563,0.9423482391399287,0.3657100335082817,493.156,163.787,16.84
JCR-ROS-6h-15,2.3139581442869566,0.8677569052617945,0.3204303582290053,488.233,151.493,14.936
JCR-ROS-6h-2,2.6471442227999433,1.2849138241483342,0.6924181107071783,556.784,220.248,30.578
JCR-ROS-6h-3,2.3481511401927615,0.8001550960808792,0.40311808456621323,495.268,140.351,18.413
JCR-ROS-6h-8,2.707918809979217,1.6403845472044698,0.9341078900471397,569.288,278.836,40.741
JCR-ROS-pre-1,3.938915266704635,2.9262993418034227,1.5165367384004793,822.558,490.778,65.232
