b'localtime,baroTrend3Hr,baro,temp,windSpeed,windSpeedAvg10Min,windDirection,humidity,rainRate,solarRadiation,stormRain,currentDateOfStorm,dayRain_c,monthRain_c,yearRain_c,dayET_c,monthET_c,yearET_c,transmitterBattery,consoleBattery,commStatus,dayHigh_c,dayLow_c,dewPoint_c,uvIndex,utcdatetime,localizeddatetime\r\n'
b'2022-10-23T17:00:00Z,,,58.0,8.0,,277.023622047244,56.0,,1982.0,,,0.0,0.0,0.0,,,,,,,67.2,51.4,58.0,,2022-10-23T17:00:00Z,2022-10-23 10:00:00-07:00\r\n'
b'2022-10-23T17:15:00Z,,,59.1,11.0,,248.755905511811,54.5,,2137.0,,,0.0,0.0,0.0,0.0100632373534895,0.0100632373534895,0.0100632373534895,,,,67.2,51.4,59.1,,2022-10-23T17:15:00Z,2022-10-23 10:15:00-07:00\r\n'
b'2022-10-23T17:30:00Z,,,59.6,14.0,,279.850393700787,53.0,,2299.0,,,0.0,0.0,0.0,0.0204875002210663,0.0204875002210663,0.0204875002210663,,,,67.2,51.4,59.6,,2022-10-23T17:30:00Z,2022-10-23 10:30:00-07:00\r\n'
b'2022-10-23T17:45:00Z,,,61.5,10.0,,272.783464566929,51.0,,2418.0,,,0.0,0.0,0.0,0.0318896719955678,0.0318896719955678,0.0318896719955678,,,,67.2,51.4,61.5,,2022-10-23T17:45:00Z,2022-10-23 10:45:00-07:00\r\n'
b'2022-10-23T18:00:00Z,,,61.6,12.0,,269.956692913386,47.0,,2545.0,,,0.0,0.0,0.0,0.0443242107516491,0.0443242107516491,0.0443242107516491,,,,67.2,51.4,61.6,,2022-10-23T18:00:00Z,2022-10-23 11:00:00-07:00\r\n'
b'2022-10-23T18:15:00Z,,,63.0,10.0,,258.649606299213,46.5,,2650.0,,,0.0,0.0,0.0,0.0575163056730295,0.0575163056730295,0.0575163056730295,,,,67.2,51.4,63.0,,2022-10-23T18:15:00Z,2022-10-23 11:15:00-07:00\r\n'
b'2022-10-23T18:16:00Z,,,,,,,,,,,,0.0,0.0,0.0,0.0575163056730295,0.0575163056730295,0.0575163056730295,,,,67.2,51.4,,,2022-10-23T18:16:00Z,2022-10-23 11:16:00-07:00\r\n'
b'2022-10-23T18:30:00Z,,,63.2,15.0,,255.822834645669,42.0,,2742.0,,,0.0,0.0,0.0,0.0575163056730295,0.0575163056730295,0.0575163056730295,,,,67.2,51.4,63.2,,2022-10-23T18:30:00Z,2022-10-23 11:30:00-07:00\r\n'
b'2022-10-23T18:45:00Z,,,63.8,11.0,,284.090551181102,42.5,,2826.0,,,0.0,0.0,0.0,0.0715616815074659,0.0715616815074659,0.0715616815074659,,,,67.2,51.4,63.8,,2022-10-23T18:45:00Z,2022-10-23 11:45:00-07:00\r\n'
b'2022-10-23T19:00:00Z,,,65.0,0.0,,305.291338582677,42.0,,2861.0,,,0.0,0.0,0.0,0.0879778679973567,0.0879778679973567,0.0879778679973567,,,,67.2,51.4,65.0,,2022-10-23T19:00:00Z,2022-10-23 12:00:00-07:00\r\n'
b'2022-10-23T19:15:00Z,,,64.9,12.0,,261.476377952756,42.0,,2917.0,,,0.0,0.0,0.0,0.104625894320821,0.104625894320821,0.104625894320821,,,,67.2,51.4,64.9,,2022-10-23T19:15:00Z,2022-10-23 12:15:00-07:00\r\n'
b'2022-10-23T19:30:00Z,,,66.6,7.0,,272.783464566929,43.0,,2946.0,,,0.0,0.0,0.0,0.120714974035155,0.120714974035155,0.120714974035155,,,,67.2,51.4,66.6,,2022-10-23T19:30:00Z,2022-10-23 12:30:00-07:00\r\n'
b'2022-10-23T19:45:00Z,,,66.0,4.0,,291.157480314961,42.5,,2917.0,,,0.0,0.0,0.0,0.138062302366939,0.138062302366939,0.138062302366939,,,,67.2,51.4,66.0,,2022-10-23T19:45:00Z,2022-10-23 12:45:00-07:00\r\n'
b'2022-10-23T20:00:00Z,,,67.2,13.0,,245.929133858268,41.5,,2925.0,,,0.0,0.0,0.0,0.154578792661467,0.154578792661467,0.154578792661467,,,,67.2,51.4,67.2,,2022-10-23T20:00:00Z,2022-10-23 13:00:00-07:00\r\n'
b'2022-10-23T20:15:00Z,,,66.7,3.0,,261.476377952756,41.5,,2875.0,,,0.0,0.0,0.0,0.171212411294229,0.171212411294229,0.171212411294229,,,,67.2,51.4,66.7,,2022-10-23T20:15:00Z,2022-10-23 13:15:00-07:00\r\n'
b'2022-10-23T20:30:00Z,,,65.9,10.0,,334.972440944882,42.0,,2861.0,,,0.0,0.0,0.0,0.187921471102302,0.187921471102302,0.187921471102302,,,,67.2,51.4,65.9,,2022-10-23T20:30:00Z,2022-10-23 13:30:00-07:00\r\n'
b'2022-10-23T20:45:00Z,,,65.8,15.0,,291.157480314961,42.0,,2798.0,,,0.0,0.0,0.0,0.202869839002947,0.202869839002947,0.202869839002947,,,,67.2,51.4,65.8,,2022-10-23T20:45:00Z,2022-10-23 13:45:00-07:00\r\n'
b'2022-10-23T21:00:00Z,,,65.3,13.0,,279.850393700787,45.0,,2721.0,,,0.0,0.0,0.0,0.217078906160705,0.217078906160705,0.217078906160705,,,,67.2,51.4,65.3,,2022-10-23T21:00:00Z,2022-10-23 14:00:00-07:00\r\n'
b'2022-10-23T21:01:00Z,,,,,,,,,,,,0.0,0.0,0.0,0.217078906160705,0.217078906160705,0.217078906160705,,,,67.2,51.4,,,2022-10-23T21:01:00Z,2022-10-23 14:01:00-07:00\r\n'
b'2022-10-23T21:15:00Z,,,64.9,16.0,,260.062992125984,44.5,,2636.0,,,0.0,0.0,0.0,0.217078906160705,0.217078906160705,0.217078906160705,,,,67.2,51.4,64.9,,2022-10-23T21:15:00Z,2022-10-23 14:15:00-07:00\r\n'
b'2022-10-23T21:30:00Z,,,64.0,11.0,,251.582677165354,49.0,,2531.0,,,0.0,0.0,0.0,0.230216972616592,0.230216972616592,0.230216972616592,,,,67.2,51.4,64.0,,2022-10-23T21:30:00Z,2022-10-23 14:30:00-07:00\r\n'
b'2022-10-23T21:45:00Z,,,63.4,8.0,,268.543307086614,50.5,,2418.0,,,0.0,0.0,0.0,0.243373977237144,0.243373977237144,0.243373977237144,,,,67.2,51.4,63.4,,2022-10-23T21:45:00Z,2022-10-23 14:45:00-07:00\r\n'
b'2022-10-23T22:00:00Z,,,62.5,18.0,,254.409448818898,50.5,,2271.0,,,0.0,0.0,0.0,0.255086133409087,0.255086133409087,0.255086133409087,,,,67.2,51.4,62.5,,2022-10-23T22:00:00Z,2022-10-23 15:00:00-07:00\r\n'
b'2022-10-23T22:15:00Z,,,62.5,13.0,,231.795275590551,48.0,,2137.0,,,0.0,0.0,0.0,0.265777743973888,0.265777743973888,0.265777743973888,,,,67.2,51.4,62.5,,2022-10-23T22:15:00Z,2022-10-23 15:15:00-07:00\r\n'
b'2022-10-23T22:30:00Z,,,61.9,9.0,,292.570866141732,50.5,,1968.0,,,0.0,0.0,0.0,0.276380234891336,0.276380234891336,0.276380234891336,,,,67.2,51.4,61.9,,2022-10-23T22:30:00Z,2022-10-23 15:30:00-07:00\r\n'
b'2022-10-23T22:45:00Z,,,61.5,14.0,,275.610236220472,53.5,,1800.0,,,0.0,0.0,0.0,0.285984608973455,0.285984608973455,0.285984608973455,,,,67.2,51.4,61.5,,2022-10-23T22:45:00Z,2022-10-23 15:45:00-07:00\r\n'
b'2022-10-23T23:00:00Z,,,60.9,17.0,,255.822834645669,54.5,,1617.0,,,0.0,0.0,0.0,0.294259670341854,0.294259670341854,0.294259670341854,,,,67.2,51.4,60.9,,2022-10-23T23:00:00Z,2022-10-23 16:00:00-07:00\r\n'
b'2022-10-23T23:15:00Z,,,60.2,17.0,,285.503937007874,58.0,,1413.0,,,0.0,0.0,0.0,0.301473963849744,0.301473963849744,0.301473963849744,,,,67.2,51.4,60.2,,2022-10-23T23:15:00Z,2022-10-23 16:15:00-07:00\r\n'
b'2022-10-23T23:30:00Z,,,59.1,13.0,,264.303149606299,60.0,,1223.0,,,0.0,0.0,0.0,0.307842400190569,0.307842400190569,0.307842400190569,,,,67.2,51.4,59.1,,2022-10-23T23:30:00Z,2022-10-23 16:30:00-07:00\r\n'
b'2022-10-23T23:45:00Z,,,58.7,20.0,,258.649606299213,63.0,,1012.0,,,0.0,0.0,0.0,0.313183683339719,0.313183683339719,0.313183683339719,,,,67.2,51.4,58.7,,2022-10-23T23:45:00Z,2022-10-23 16:45:00-07:00\r\n'
b'2022-10-23T23:46:00Z,,,,,,,,,,,,0.0,0.0,0.0,0.313183683339719,0.313183683339719,0.313183683339719,,,,67.2,51.4,,,2022-10-23T23:46:00Z,2022-10-23 16:46:00-07:00\r\n'
