Model:	LI-7810
SN:	TG10-01575
Software Version:	2.3.8
Timestamp:	2025-04-29 18:15:00
Timezone:	America/Los_Angeles
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1745975700	816464900	94509	0	""	2025-04-29	18:15:00	12981.356	425.9805	2100.0054	39.7634	55.001	32.0527	30.6234	0.00262385	11.2372	54.5005	145.75	-0.16362	24.1217	 39
DATA	1745975701	816464900	94513	0	""	2025-04-29	18:15:01	12982.444	426.07172	2100.1492	39.7638	55.001	32.0527	30.6234	0.00262604	11.2367	54.5005	-75	-0.16362	24.1221	184
DATA	1745975702	816464900	94517	0	""	2025-04-29	18:15:02	12982.873	426.06241	2100.062	39.7626	55.001	32.0516	30.6236	0.00262523	11.2371	54.5005	-46.25	-0.16362	24.1217	 24
DATA	1745975703	816464900	94521	0	""	2025-04-29	18:15:03	12982.945	426.51495	2100.2371	39.7634	55.001	32.0527	30.6236	0.00262247	11.2372	54.5005	33	-0.16362	24.1213	144
DATA	1745975704	816464900	94525	0	""	2025-04-29	18:15:04	12982.131	426.23923	2100.2454	39.763	55.001	32.0531	30.6234	0.00262273	11.2367	54.5005	-92	-0.16362	24.1217	132
DATA	1745975705	816464900	94529	0	""	2025-04-29	18:15:05	12983.69	426.30139	2100.1316	39.7638	55.001	32.0516	30.6232	0.00262725	11.2374	54.5005	74	-0.16362	24.1205	103
DATA	1745975706	816112041	94533	0	""	2025-04-29	18:15:06	12984.216	425.79468	2100.0293	39.7634	55.001	32.0516	30.6232	0.00262633	11.2367	54.5005	-133.75	-0.16362	24.1209	136
DATA	1745975707	816112041	94537	0	""	2025-04-29	18:15:07	12983.333	426.03946	2100.0356	39.7626	55.001	32.0489	30.6232	0.00262294	11.237	54.5005	108.75	-0.16362	24.1205	 42
DATA	1745975708	816112041	94541	0	""	2025-04-29	18:15:08	12983.802	425.84851	2100.1973	39.7638	55.001	32.0496	30.6234	0.00262999	11.2365	54.5005	14.75	-0.16362	24.1209	 68
DATA	1745975709	816112041	94545	0	""	2025-04-29	18:15:09	12982.628	426.32138	2100.1328	39.7626	55.001	32.05	30.6234	0.00263087	11.2372	54.5005	45	-0.16362	24.1205	 41
DATA	1745975710	816112041	94549	0	""	2025-04-29	18:15:10	12983.059	425.89099	2100.25	39.763	55.001	32.0496	30.6232	0.00262755	11.2369	54.5005	-65.5	-0.16362	24.1209	154
DATA	1745975711	816112041	94553	0	""	2025-04-29	18:15:11	12983.407	426.08231	2100.5242	39.763	55.001	32.0481	30.6232	0.00262619	11.2372	54.5005	59	-0.16362	24.1209	 76
DATA	1745975712	816112041	94557	0	""	2025-04-29	18:15:12	12983.004	426.25256	2100.499	39.7622	55.001	32.0481	30.6236	0.0026228	11.2366	54.5005	-8.75	-0.16362	24.1209	189
DATA	1745975713	815761089	94561	0	""	2025-04-29	18:15:13	12982.58	426.11618	2100.5989	39.763	55.001	32.0504	30.6232	0.00262749	11.2375	54.5005	18	-0.16362	24.1217	 71
DATA	1745975714	815761089	94565	0	""	2025-04-29	18:15:14	12982.603	426.43152	2100.4119	39.7626	55.001	32.0496	30.6232	0.00262549	11.2369	54.5005	-15.5	-0.16362	24.1217	 52
DATA	1745975715	815761089	94569	0	""	2025-04-29	18:15:15	12983.364	426.02328	2100.4514	39.7634	55.001	32.0492	30.6232	0.00262154	11.2368	54.5005	36	-0.16362	24.1221	158
DATA	1745975716	815761089	94573	0	""	2025-04-29	18:15:16	12982.954	425.79919	2100.2229	39.763	55.001	32.05	30.6234	0.00262735	11.2373	54.5005	-21.25	-0.16362	24.1217	217
DATA	1745975717	815761089	94577	0	""	2025-04-29	18:15:17	12983.121	425.64624	2100.1577	39.7626	55.001	32.0504	30.6236	0.00263197	11.2371	54.5005	-51.25	-0.16362	24.1213	101
DATA	1745975718	815761089	94581	0	""	2025-04-29	18:15:18	12983.8	425.92239	2100.2117	39.7638	55.001	32.0481	30.6236	0.00263081	11.2366	54.5005	8	-0.16362	24.1217	 23
DATA	1745975719	815761089	94585	0	""	2025-04-29	18:15:19	12984.013	425.75998	2100.1306	39.763	55.001	32.0492	30.6234	0.00263239	11.2371	54.5005	-5	-0.16362	24.1221	116
DATA	1745975720	815761089	94589	0	""	2025-04-29	18:15:20	12984.284	426.22598	2100.1941	39.7626	55.001	32.0504	30.6232	0.00262953	11.237	54.5005	-47.75	-0.16362	24.1217	 63
DATA	1745975721	815404891	94593	0	""	2025-04-29	18:15:21	12983.936	426.06982	2100.4082	39.763	55.001	32.0485	30.6232	0.00263036	11.2373	54.5005	121.5	-0.16362	24.1209	253
DATA	1745975722	815404891	94597	0	""	2025-04-29	18:15:22	12982.022	426.03015	2100.3335	39.7634	55.001	32.0496	30.6232	0.00262949	11.2372	54.5005	31	-0.16362	24.1197	152
DATA	1745975723	815404891	94601	0	""	2025-04-29	18:15:23	12983.082	426.3494	2100.3665	39.7619	55.001	32.0496	30.6232	0.00262569	11.2374	54.5005	15.5	-0.16362	24.1205	210
DATA	1745975724	815404891	94605	0	""	2025-04-29	18:15:24	12983.019	425.88254	2100.344	39.7634	55.001	32.0504	30.6232	0.00262833	11.2364	54.5005	-25.25	-0.16362	24.1205	 33
DATA	1745975725	815404891	94609	0	""	2025-04-29	18:15:25	12983.096	425.67459	2100.2876	39.7642	55.001	32.0489	30.6232	0.00262845	11.2372	54.5005	-58.5	-0.16362	24.1201	 73
