Model:	LI-7810
SN:	TG10-01575
Software Version:	2.3.8
Timestamp:	2025-04-09 11:29:54
Timezone:	America/Los_Angeles
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1744223394	846802949	0	256	""	2025-04-09	11:29:54	nan	nan	nan	101.242	23.0613	101.689	24.34	0	0	22.8622	0	0	16.5959	206
DATA	1744223395	246782064	0	256	""	2025-04-09	11:29:55	nan	nan	nan	101.242	23.0613	101.689	24.34	0	0	22.8622	0	0	16.5959	197
DATA	1744223396	96749067	17	256	""	2025-04-09	11:29:56	nan	nan	nan	99.4101	23.0613	99.7746	24.3417	0	0	22.8626	-7000	0	16.5696	 37
DATA	1744223397	96707105	21	256	""	2025-04-09	11:29:57	nan	nan	nan	96.6317	23.0613	97.0252	25.8737	0	0	22.8629	-14000	0	16.53	214
DATA	1744223398	96662044	25	256	""	2025-04-09	11:29:58	nan	nan	nan	96.5415	23.0613	96.9567	29.6971	0	0	22.8632	-14000	0	16.5468	 88
DATA	1744223399	96616029	29	256	""	2025-04-09	11:29:59	nan	nan	nan	96.5096	23.0619	96.928	30.1595	0	0	22.8636	-14000	0	16.5512	 34
DATA	1744223400	96616029	33	256	""	2025-04-09	11:30:00	nan	nan	nan	96.4898	23.062	96.9081	30.314	0	0	22.8641	-14000	0	16.5515	185
DATA	1744223401	96616029	37	256	""	2025-04-09	11:30:01	nan	nan	nan	96.4781	23.062	96.8969	30.3782	0	0	22.8643	-14000	0	16.5484	  7
DATA	1744223402	96616029	41	256	""	2025-04-09	11:30:02	nan	nan	nan	96.4695	23.062	96.8891	30.4134	0	0	22.8648	-14000	0	16.5515	250
DATA	1744223403	96616029	45	256	""	2025-04-09	11:30:03	nan	nan	nan	96.4633	23.0627	96.884	30.437	0	0	22.865	-14000	0	16.5508	150
DATA	1744223404	96616029	49	256	""	2025-04-09	11:30:04	nan	nan	nan	96.4602	23.0627	96.879	30.4525	0	0	22.8657	-14000	0	16.5515	  3
DATA	1744223405	96616029	53	256	""	2025-04-09	11:30:05	nan	nan	nan	96.4567	23.0627	96.8766	30.4639	0	0	22.8659	-14000	0	16.5461	 69
DATA	1744223406	96616029	57	256	""	2025-04-09	11:30:06	nan	nan	nan	96.4559	23.0631	96.8739	30.4709	0	0	22.8664	-14000	0	16.5437	 68
DATA	1744223407	96283912	61	256	""	2025-04-09	11:30:07	nan	nan	nan	96.4552	23.0634	96.8724	30.4768	0	0	22.8667	-14000	0	16.5441	 59
DATA	1744223408	96283912	65	256	""	2025-04-09	11:30:08	nan	nan	nan	96.4536	23.0634	96.872	30.4809	0	0	22.8671	-14000	0	16.5425	  8
DATA	1744223409	96283912	69	256	""	2025-04-09	11:30:09	nan	nan	nan	96.4528	23.0634	96.8731	30.484	0	0	22.8676	-14000	0	16.5429	 21
DATA	1744223410	96283912	73	256	""	2025-04-09	11:30:10	nan	nan	nan	96.4524	23.0641	96.872	30.4862	0	0	22.8678	-14000	0	16.5425	250
DATA	1744223411	96283912	77	256	""	2025-04-09	11:30:11	nan	nan	nan	96.4521	23.0641	96.872	30.4877	0	0	22.8685	-14000	0	16.5421	253
DATA	1744223412	96283912	81	256	""	2025-04-09	11:30:12	nan	nan	nan	96.4524	23.0641	96.8712	30.4892	0	0	22.8685	-14000	0	16.5488	 56
DATA	1744223413	96283912	85	256	""	2025-04-09	11:30:13	nan	nan	nan	96.4524	23.0641	96.8712	30.4901	0	0	22.8692	-14000	0	16.5488	 51
DATA	1744223414	96283912	89	256	""	2025-04-09	11:30:14	nan	nan	nan	96.4528	23.0646	96.8716	30.491	0	0	22.8692	-14000	0	16.548	222
DATA	1744223415	95958948	93	256	""	2025-04-09	11:30:15	nan	nan	nan	96.4528	23.0648	96.8716	30.4914	0	0	22.8698	-14000	0	16.5476	 93
DATA	1744223416	95958948	97	256	""	2025-04-09	11:30:16	nan	nan	nan	96.4517	23.0648	96.8712	30.4923	0	0	22.8698	-14000	0	16.5476	 93
DATA	1744223417	95958948	101	256	""	2025-04-09	11:30:17	nan	nan	nan	96.4524	23.0648	96.87	30.4923	0	0	22.8698	-14000	0	16.5476	 28
DATA	1744223418	95958948	105	256	""	2025-04-09	11:30:18	nan	nan	nan	96.4524	23.0653	96.8704	30.4932	0	0	22.8698	-14000	0	16.5484	129
DATA	1744223419	95958948	109	256	""	2025-04-09	11:30:19	nan	nan	nan	96.4524	23.0655	96.8708	30.4932	0	0	22.8705	-14000	0	16.5484	130
DATA	1744223420	95958948	113	256	""	2025-04-09	11:30:20	nan	nan	nan	96.4521	23.0655	96.8712	30.4932	0	0	22.8705	-14000	0	16.5488	105
DATA	1744223421	95958948	117	256	""	2025-04-09	11:30:21	nan	nan	nan	96.4521	23.0655	96.8708	30.4938	0	0	22.8712	-14000	0	16.5484	116
DATA	1744223422	95617055	121	256	""	2025-04-09	11:30:22	nan	nan	nan	96.4521	23.066	96.8704	30.4941	0	0	22.8712	-14000	0	16.5476	 33
DATA	1744223423	95617055	125	256	""	2025-04-09	11:30:23	nan	nan	nan	96.4528	23.0662	96.8712	30.4941	0	0	22.8719	-14000	0	16.5472	 98
DATA	1744223424	95617055	129	256	""	2025-04-09	11:30:24	nan	nan	nan	96.4532	23.0662	96.87	30.4941	0	0	22.8719	-14000	0	16.5472	  0
DATA	1744223425	95617055	133	256	""	2025-04-09	11:30:25	nan	nan	nan	96.4524	23.0662	96.87	30.4945	0	0	22.8726	-14000	0	16.5468	  5
DATA	1744223426	95617055	137	256	""	2025-04-09	11:30:26	nan	nan	nan	96.4521	23.0667	96.87	30.4949	0	0	22.8726	-14000	0	16.5468	 17
DATA	1744223427	95617055	141	256	""	2025-04-09	11:30:27	nan	nan	nan	96.4521	23.0669	96.8708	30.4949	0	0	22.8733	-14000	0	16.5449	117
DATA	1744223428	95617055	145	256	""	2025-04-09	11:30:28	nan	nan	nan	96.4524	23.0669	96.8708	30.4949	0	0	22.8733	-14000	0	16.5449	126
DATA	1744223429	95617055	149	256	""	2025-04-09	11:30:29	nan	nan	nan	96.4524	23.0669	96.8696	30.4949	0	0	22.874	-14000	0	16.5445	 84
DATA	1744223430	95293045	153	256	""	2025-04-09	11:30:30	nan	nan	nan	96.4513	23.0672	96.8685	30.4949	0	0	22.874	-14000	0	16.5437	 53
DATA	1744223431	95293045	157	256	""	2025-04-09	11:30:31	nan	nan	nan	96.4486	23.0676	96.8661	30.4958	0	0	22.8747	-14000	0	16.5437	121
DATA	1744223432	95293045	161	256	""	2025-04-09	11:30:32	nan	nan	nan	96.4505	23.0676	96.8677	30.4958	0	0	22.8747	-14000	0	16.5433	113
DATA	1744223433	95293045	165	256	""	2025-04-09	11:30:33	nan	nan	nan	96.4509	23.0676	96.8685	30.4958	0	0	22.8754	-14000	0	16.3824	122
DATA	1744223434	95293045	169	256	""	2025-04-09	11:30:34	nan	nan	nan	96.4521	23.0686	96.8708	30.4958	0	0	22.8759	-14000	0	15.9575	132
DATA	1744223435	95293045	173	256	""	2025-04-09	11:30:35	nan	nan	nan	96.4528	23.071	96.8708	30.4958	0	0	22.8808	-14000	0	15.954	 15
DATA	1744223436	95293045	177	256	""	2025-04-09	11:30:36	nan	nan	nan	96.4544	23.0783	96.872	30.496	0	0	22.8922	-14000	0	15.9509	 18
DATA	1744223437	94957113	181	256	""	2025-04-09	11:30:37	nan	nan	nan	96.4552	23.0906	96.8731	30.4965	0	0	22.9086	-14000	0	15.947	 67
DATA	1744223438	94957113	185	256	""	2025-04-09	11:30:38	nan	nan	nan	96.4575	23.1069	96.8747	30.4967	0	0	22.9277	-14000	0	15.9434	138
DATA	1744223439	94957113	189	256	""	2025-04-09	11:30:39	nan	nan	nan	96.4583	23.1261	96.8747	30.4967	0	0	22.9471	-14000	0	15.9407	133
DATA	1744223440	94957113	193	256	""	2025-04-09	11:30:40	nan	nan	nan	96.4583	23.1472	96.8751	30.4967	0	0	22.9669	-14000	0	15.9383	123
DATA	1744223441	94957113	197	256	""	2025-04-09	11:30:41	nan	nan	nan	96.4579	23.1702	96.8747	30.4967	0	0	22.987	-14000	0	15.9364	 80
DATA	1744223442	94957113	201	256	""	2025-04-09	11:30:42	nan	nan	nan	96.4575	23.1946	96.8751	30.4967	0	0	23.0071	-14000	0	15.934	 48
DATA	1744223443	94957113	205	256	""	2025-04-09	11:30:43	nan	nan	nan	96.4583	23.2194	96.8759	30.4969	0	0	23.0265	-14000	0	15.9305	113
DATA	1744223444	94957113	209	256	""	2025-04-09	11:30:44	nan	nan	nan	96.4591	23.2441	96.8759	30.4975	0	0	23.0457	-14000	0	15.9281	116
DATA	1744223445	94628095	213	256	""	2025-04-09	11:30:45	nan	nan	nan	96.4583	23.2714	96.8759	30.4975	0	0	23.0665	-14000	0	15.9234	120
DATA	1744223446	94628095	217	256	""	2025-04-09	11:30:46	nan	nan	nan	96.4587	23.2989	96.8763	30.4975	0	0	23.0873	-14000	0	15.9238	144
DATA	1744223447	94628095	221	256	""	2025-04-09	11:30:47	nan	nan	nan	96.4587	23.3262	96.8759	30.4975	0	0	23.1088	-14000	0	15.9218	128
DATA	1744223448	94628095	225	256	""	2025-04-09	11:30:48	nan	nan	nan	96.4594	23.3538	96.8763	30.4975	0	0	23.1294	-14000	0	15.9191	132
DATA	1744223449	94628095	229	256	""	2025-04-09	11:30:49	nan	nan	nan	96.4602	23.3818	96.8774	30.4975	0	0	23.1505	-14000	0	15.9175	128
DATA	1744223450	94628095	233	256	""	2025-04-09	11:30:50	nan	nan	nan	96.4594	23.4094	96.8759	30.4984	0	0	23.1715	-14000	0	15.916	 66
DATA	1744223451	94628095	237	256	""	2025-04-09	11:30:51	nan	nan	nan	96.4598	23.4368	96.877	30.4984	0	0	23.1926	-14000	0	15.914	 27
DATA	1744223452	94288110	241	256	""	2025-04-09	11:30:52	nan	nan	nan	96.4594	23.4641	96.8759	30.4984	0	0	23.2128	-14000	0	15.9148	110
DATA	1744223453	94288110	245	256	""	2025-04-09	11:30:53	nan	nan	nan	96.4594	23.4901	96.8766	30.4984	0	0	23.233	-14000	0	15.9128	 58
DATA	1744223454	94288110	249	256	""	2025-04-09	11:30:54	nan	nan	nan	96.4591	23.5173	96.877	30.4984	0	0	23.2543	-14000	0	15.9109	 63
DATA	1744223455	94288110	253	256	""	2025-04-09	11:30:55	nan	nan	nan	96.4602	23.5442	96.8763	30.4984	0	0	23.2763	-14000	0	15.9097	112
DATA	1744223456	94288110	257	256	""	2025-04-09	11:30:56	nan	nan	nan	96.4602	23.5707	96.877	30.4991	0	0	23.2975	-14000	0	15.9081	 68
DATA	1744223457	94288110	261	256	""	2025-04-09	11:30:57	nan	nan	nan	96.4587	23.5971	96.8766	30.4993	0	0	23.3189	-14000	0	15.9069	139
DATA	1744223458	94288110	265	256	""	2025-04-09	11:30:58	nan	nan	nan	96.4594	23.6236	96.8766	30.4993	0	0	23.3403	-14000	0	15.9061	119
DATA	1744223459	94288110	269	256	""	2025-04-09	11:30:59	nan	nan	nan	96.4602	23.6492	96.8759	30.4993	0	0	23.3618	-14000	0	15.9046	132
DATA	1744223460	93962907	273	256	""	2025-04-09	11:31:00	nan	nan	nan	96.4602	23.674	96.8763	30.4993	0	0	23.3821	-14000	0	15.9022	 51
DATA	1744223461	93962907	277	256	""	2025-04-09	11:31:01	nan	nan	nan	96.4591	23.6981	96.8763	30.5	0	0	23.4028	-14000	0	15.9003	210
DATA	1744223462	93962907	281	256	""	2025-04-09	11:31:02	nan	nan	nan	96.4598	23.7232	96.877	30.5002	0	0	23.4242	-14000	0	15.8987	 62
DATA	1744223463	93962907	285	256	""	2025-04-09	11:31:03	nan	nan	nan	96.4602	23.748	96.8759	30.5002	0	0	23.4461	-14000	0	15.8971	 62
DATA	1744223464	93962907	289	256	""	2025-04-09	11:31:04	nan	nan	nan	96.4598	23.7722	96.8763	30.5002	0	0	23.4679	-14000	0	15.8956	138
DATA	1744223465	93962907	293	256	""	2025-04-09	11:31:05	nan	nan	nan	96.4594	23.7969	96.8766	30.5002	0	0	23.4892	-14000	0	15.894	 89
DATA	1744223466	93962907	297	256	""	2025-04-09	11:31:06	nan	nan	nan	96.4598	23.8213	96.877	30.5006	0	0	23.5106	-14000	0	15.8924	 72
DATA	1744223467	93616962	301	256	""	2025-04-09	11:31:07	nan	nan	nan	96.4602	23.8448	96.877	30.501	0	0	23.5322	-14000	0	15.8912	253
DATA	1744223468	93616962	305	256	""	2025-04-09	11:31:08	nan	nan	nan	96.4602	23.8682	96.8763	30.501	0	0	23.5537	-14000	0	15.8901	 59
