  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code,Pulse Good
     1,    P-2546,   2025/07/24 20:06:55,           1-01,       1,       -10.982,      1655.311,         18996,      -1,    1,                                        ,                                        ,                 H2O, 1753413121.11,         0.108,        54.053,        75.029,         0.001,         1.279,         1.776,       203.296,        26.808,         3.112,        91.014,         0.720,        -1.785,       -0.0000,       -0.0000,    1,        43.562,         1,       1,       1,20250722_TristanCaro,       0,       1
     2,    P-2546,   2025/07/24 20:15:55,           1-01,       2,       -10.956,       631.241,         18644,      -1,    1,                                        ,                                        ,                 H2O, 1753413661.24,         0.105,        44.327,        72.366,         0.001,         1.055,         1.723,       199.687,        29.856,         2.808,        91.459,         0.720,        -0.409,        0.0000,        0.0000,    1,        43.562,         1,       1,       1,20250722_TristanCaro,       0,       1
     3,    P-2546,   2025/07/24 20:24:55,           1-01,       3,       -10.926,       405.686,         18626,      -1,    1,                                        ,                                        ,                 H2O, 1753414201.54,         0.109,        36.267,        69.061,         0.001,         0.863,         1.643,       199.334,        30.398,         2.797,        92.266,         0.720,        -0.071,       -0.0000,       -0.0000,    1,        43.562,         1,       1,       1,20250722_TristanCaro,       0,       1
     4,    P-2546,   2025/07/24 20:33:56,           1-01,       4,       -10.925,       308.209,         18592,       0,    1,                                        ,                                        ,                 H2O, 1753414742.09,         0.102,        31.005,        69.065,         0.000,         0.738,         1.645,       199.221,        30.676,         2.747,        91.273,         0.720,        -0.190,        0.0000,        0.0000,    1,        43.562,         1,       1,       1,20250722_TristanCaro,       0,       1
     5,    P-2546,   2025/07/24 20:42:56,           1-01,       5,       -10.932,       245.249,         18608,       0,    1,                                        ,                                        ,                 H2O, 1753415282.31,         0.108,        27.685,        72.008,         0.001,         0.656,         1.706,       198.950,        30.956,         2.782,        92.595,         0.720,         0.149,       -0.0000,       -0.0000,    1,        43.562,         1,       1,       1,20250722_TristanCaro,       0,       1
     6,    P-2546,   2025/07/24 20:51:56,           1-01,       6,       -10.977,       204.616,         18522,       0,    1,                                        ,                                        ,                 H2O, 1753415822.22,         0.101,        24.916,        69.199,         0.001,         0.593,         1.648,       198.516,        31.287,         2.691,        90.431,         0.720,        -0.102,        0.0000,        0.0000,    1,        43.625,         1,       1,       1,20250722_TristanCaro,       0,       1
     7,    P-2546,   2025/07/24 21:00:56,           1-01,       7,       -10.938,       175.314,         18374,       0,    1,                                        ,                                        ,                 H2O, 1753416362.50,         0.091,        22.656,        68.720,         0.000,         0.540,         1.638,       197.619,        30.552,         2.725,        91.607,         0.719,         0.178,        0.0000,        0.0000,    1,        43.625,         1,       1,       1,20250722_TristanCaro,       0,       1
     8,    P-2546,   2025/07/24 21:09:56,           1-01,       8,       -10.944,       149.704,         18558,       0,    1,                                        ,                                        ,                 H2O, 1753416902.17,         0.099,        20.805,        67.927,         0.001,         0.495,         1.617,       198.758,        31.152,         2.729,        91.586,         0.720,         0.018,       -0.0000,       -0.0000,    1,        43.625,         1,       1,       1,20250722_TristanCaro,       0,       1
     9,    P-2546,   2025/07/24 21:18:56,           1-01,       9,       -10.966,       127.331,         18552,       0,    1,                                        ,                                        ,                 H2O, 1753417441.89,         0.091,        19.548,        70.712,         0.001,         0.465,         1.682,       198.481,        31.414,         2.707,        92.027,         0.720,         0.277,       -0.0000,       -0.0000,    1,        43.625,         1,       1,       1,20250722_TristanCaro,       0,       1
    10,    P-2547,   2025/07/24 21:30:10,           1-23,       1,        -7.073,     13837.346,         19209,      -1,    1,                                        ,                                        ,                 H2O, 1753418116.50,         0.206,        28.334,        71.294,         0.001,        -0.653,         1.691,       219.486,       -10.182,         6.363,       113.537,         0.729,       -19.404,        0.0000,        0.0000,    1,        43.562,         1,      23,       2,20250722_TristanCaro,       0,       1
    11,    P-2547,   2025/07/24 21:39:10,           1-23,       2,        -6.882,     14962.455,         18844,      -1,    1,                                        ,                                        ,                 H2O, 1753418655.76,         0.212,        29.880,        71.919,         0.001,        -0.710,         1.718,       217.588,       -12.008,         6.489,       115.545,         0.731,       -20.309,       -0.0000,       -0.0000,    1,        43.562,         1,      23,       2,20250722_TristanCaro,       0,       1
    12,    P-2547,   2025/07/24 21:48:09,           1-23,       3,        -6.942,     15314.327,         18904,      -1,    1,                                        ,                                        ,                 H2O, 1753419195.33,         0.196,        24.619,        72.907,        -0.000,        -0.580,         1.729,       218.223,       -12.389,         6.571,       116.993,         0.729,       -20.811,        0.0000,        0.0000,    1,        43.562,         1,      23,       2,20250722_TristanCaro,       0,       1
    13,    P-2547,   2025/07/24 21:57:10,           1-23,       4,        -6.944,     15441.167,         18582,       0,    1,                                        ,                                        ,                 H2O, 1753419735.70,         0.235,        20.608,        72.061,         0.000,        -0.486,         1.715,       216.136,       -12.212,         6.473,       114.052,         0.731,       -20.767,       -0.0000,       -0.0000,    1,        43.562,         1,      23,       2,20250722_TristanCaro,       0,       1
    14,    P-2547,   2025/07/24 22:06:10,           1-23,       5,        -6.951,     15499.391,         18592,       0,    1,                                        ,                                        ,                 H2O, 1753420275.94,         0.219,        16.953,        71.060,         0.001,        -0.399,         1.695,       215.792,       -11.963,         6.452,       116.351,         0.729,       -20.400,       -0.0000,       -0.0000,    1,        43.500,         1,      23,       2,20250722_TristanCaro,       0,       1
    15,    P-2547,   2025/07/24 22:15:10,           1-23,       6,        -6.907,     15561.658,         18636,       0,    1,                                        ,                                        ,                 H2O, 1753420815.71,         0.193,        14.943,        70.577,         0.000,        -0.352,         1.688,       216.248,       -11.895,         6.427,       116.150,         0.730,       -20.602,       -0.0000,       -0.0000,    1,        43.562,         1,      23,       2,20250722_TristanCaro,       0,       1
    16,    P-2547,   2025/07/24 22:24:10,           1-23,       7,        -6.972,     15591.925,         18721,       0,    1,                                        ,                                        ,                 H2O, 1753421356.19,         0.214,        13.426,        71.580,        -0.000,        -0.311,         1.697,       217.146,       -12.350,         6.550,       115.085,         0.730,       -21.081,        0.0000,        0.0000,    1,        43.500,         1,      23,       2,20250722_TristanCaro,       0,       1
    17,    P-2547,   2025/07/24 22:33:11,           1-23,       8,        -6.917,     15618.191,         18574,       0,    1,                                        ,                                        ,                 H2O, 1753421896.62,         0.206,        12.282,        71.738,         0.001,        -0.286,         1.709,       215.810,       -11.941,         6.435,       116.092,         0.730,       -20.512,        0.0000,        0.0000,    1,        43.562,         1,      23,       2,20250722_TristanCaro,       0,       1
    18,    P-2547,   2025/07/24 22:42:11,           1-23,       9,        -6.911,     15640.345,         18786,       0,    1,                                        ,                                        ,                 H2O, 1753422437.61,         0.210,        12.022,        68.575,         0.000,        -0.280,         1.631,       217.548,       -12.806,         6.598,       116.500,         0.730,       -20.909,       -0.0000,       -0.0000,    1,        43.500,         1,      23,       2,20250722_TristanCaro,       0,       1
    19,    P-2548,   2025/07/24 22:53:26,           1-24,       1,        -6.949,     19042.767,         18697,      -1,    1,                                        ,                                        ,                 H2O, 1753423111.76,         0.268,        22.140,        73.229,        -0.000,        -0.513,         1.734,       219.506,       -19.718,         7.365,       129.162,         0.740,       -24.275,       -0.0000,       -0.0000,    1,        43.500,         1,      24,       2,20250722_TristanCaro,       0,       1
    20,    P-2548,   2025/07/24 23:02:26,           1-24,       2,        -6.799,     19273.675,         18680,      -1,    1,                                        ,                                        ,                 H2O, 1753423651.75,         0.273,        21.363,        73.245,         0.001,        -0.498,         1.736,       219.284,       -19.991,         7.433,       129.870,         0.743,       -24.339,       -0.0000,       -0.0000,    1,        43.562,         1,      24,       2,20250722_TristanCaro,       0,       1
    21,    P-2548,   2025/07/24 23:11:26,           1-24,       3,        -6.915,     19386.676,         18613,      -1,    1,                                        ,                                        ,                 H2O, 1753424191.70,         0.256,        19.162,        71.645,         0.001,        -0.447,         1.706,       219.100,       -20.141,         7.421,       129.400,         0.741,       -24.550,       -0.0000,       -0.0000,    1,        43.500,         1,      24,       2,20250722_TristanCaro,       0,       1
    22,    P-2548,   2025/07/24 23:20:25,           1-24,       4,        -6.922,     19437.649,         18880,       0,    1,                                        ,                                        ,                 H2O, 1753424731.68,         0.254,        17.212,        72.002,        -0.000,        -0.401,         1.717,       221.219,       -20.533,         7.533,       130.391,         0.740,       -25.321,       -0.0000,       -0.0000,    1,        43.500,         1,      24,       2,20250722_TristanCaro,       0,       1
    23,    P-2548,   2025/07/24 23:29:25,           1-24,       5,        -6.869,     19489.196,         18582,       0,    1,                                        ,                                        ,                 H2O, 1753425271.11,         0.243,        17.183,        68.783,        -0.000,        -0.401,         1.643,       219.009,       -20.168,         7.447,       128.766,         0.742,       -24.752,       -0.0000,       -0.0000,    1,        43.500,         1,      24,       2,20250722_TristanCaro,       0,       1
    24,    P-2548,   2025/07/24 23:38:25,           1-24,       6,        -6.870,     19514.250,         18507,       0,    1,                                        ,                                        ,                 H2O, 1753425811.16,         0.239,        15.030,        71.211,         0.001,        -0.346,         1.685,       218.387,       -20.680,         7.481,       129.559,         0.742,       -24.524,       -0.0000,       -0.0000,    1,        43.500,         1,      24,       2,20250722_TristanCaro,       0,       1
    25,    P-2548,   2025/07/24 23:47:26,           1-24,       7,        -6.856,     19539.364,         18611,       0,    1,                                        ,                                        ,                 H2O, 1753426351.96,         0.259,        14.468,        69.608,         0.001,        -0.335,         1.664,       219.062,       -20.628,         7.496,       130.115,         0.746,       -24.557,       -0.0000,       -0.0000,    1,        43.562,         1,      24,       2,20250722_TristanCaro,       0,       1
    26,    P-2548,   2025/07/24 23:56:25,           1-24,       8,        -6.798,     19554.872,         18319,       0,    1,                                        ,                                        ,                 H2O, 1753426891.68,         0.237,        13.487,        72.921,         0.000,        -0.313,         1.746,       216.707,       -19.622,         7.316,       128.879,         0.741,       -24.032,        0.0000,        0.0000,    1,        43.500,         1,      24,       2,20250722_TristanCaro,       0,       1
    27,    P-2548,   2025/07/25 00:05:25,           1-24,       9,        -6.929,     19563.304,         18867,       0,    1,                                        ,                                        ,                 H2O, 1753427430.59,         0.248,        13.078,        70.710,         0.000,        -0.300,         1.691,       221.342,       -20.933,         7.592,       130.356,         0.746,       -25.480,        0.0000,        0.0000,    1,        43.562,         1,      24,       2,20250722_TristanCaro,       0,       1
    28,    P-2549,   2025/07/25 00:16:40,           1-25,       1,        -6.267,     15267.095,         18764,      -1,    1,                                        ,                                        ,                 H2O, 1753428106.00,         0.200,         4.875,        71.674,         0.001,         0.108,         1.711,       220.767,       -12.382,         6.513,       116.823,         0.731,       -20.398,        0.0000,        0.0000,    1,        43.500,         1,      25,       2,20250722_TristanCaro,       0,       1
    29,    P-2549,   2025/07/25 00:25:39,           1-25,       2,        -6.242,     14872.483,         18575,      -1,    1,                                        ,                                        ,                 H2O, 1753428645.17,         0.206,         3.538,        68.409,         0.000,         0.063,         1.630,       219.202,       -11.441,         6.351,       113.634,         0.730,       -19.802,       -0.0000,       -0.0000,    1,        43.500,         1,      25,       2,20250722_TristanCaro,       0,       1
    30,    P-2549,   2025/07/25 00:34:39,           1-25,       3,        -6.232,     14820.027,         18393,      -1,    1,                                        ,                                        ,                 H2O, 1753429185.16,         0.194,         2.954,        72.079,        -0.000,         0.045,         1.715,       217.792,       -10.822,         6.255,       111.748,         0.727,       -19.646,        0.0000,        0.0000,    1,        43.500,         1,      25,       2,20250722_TristanCaro,       0,       1
    31,    P-2549,   2025/07/25 00:43:38,           1-25,       4,        -6.217,     14818.543,         18496,       0,    1,                                        ,                                        ,                 H2O, 1753429723.98,         0.204,         2.414,        70.496,         0.001,         0.021,         1.689,       218.343,       -10.617,         6.249,       112.835,         0.729,       -19.546,       -0.0000,       -0.0000,    1,        43.438,         1,      25,       2,20250722_TristanCaro,       0,       1
    32,    P-2549,   2025/07/25 00:52:38,           1-25,       5,        -6.167,     14825.074,         18747,       0,    1,                                        ,                                        ,                 H2O, 1753430264.49,         0.203,         2.415,        70.196,         0.000,        -0.016,         1.671,       220.416,       -11.126,         6.357,       114.023,         0.731,       -19.998,        0.0000,        0.0000,    1,        43.500,         1,      25,       2,20250722_TristanCaro,       0,       1
    33,    P-2549,   2025/07/25 01:01:38,           1-25,       6,        -6.173,     14822.225,         18525,       0,    1,                                        ,                                        ,                 H2O, 1753430803.68,         0.219,         3.016,        67.790,         0.001,        -0.043,         1.617,       218.760,       -10.931,         6.306,       113.076,         0.729,       -19.813,        0.0000,        0.0000,    1,        43.500,         1,      25,       2,20250722_TristanCaro,       0,       1
    34,    P-2549,   2025/07/25 01:10:37,           1-25,       7,        -6.190,     14824.060,         18572,       0,    1,                                        ,                                        ,                 H2O, 1753431343.00,         0.200,         2.749,        72.357,         0.000,        -0.033,         1.724,       219.138,       -11.047,         6.327,       113.249,         0.730,       -19.839,       -0.0000,       -0.0000,    1,        43.500,         1,      25,       2,20250722_TristanCaro,       0,       1
    35,    P-2549,   2025/07/25 01:19:37,           1-25,       8,        -6.224,     14818.495,         18472,       0,    1,                                        ,                                        ,                 H2O, 1753431883.14,         0.192,         3.231,        70.819,         0.000,        -0.047,         1.691,       218.293,       -10.785,         6.269,       112.678,         0.729,       -19.615,        0.0000,        0.0000,    1,        43.438,         1,      25,       2,20250722_TristanCaro,       0,       1
