  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code,Pulse Good
1,    P-2599,   2025/07/29 11:18:47,           1-01,1,              ,              ,              ,        ,     ,                                        ,                                        ,                 H2O,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,     ,              ,1,1,1,SyringeCleaning_NMP_mqH2O_5xRinse,0,1
2,    P-2599,   2025/07/29 11:28:41,           1-01,2,              ,              ,              ,        ,     ,                                        ,                                        ,                 H2O,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,     ,              ,1,1,1,SyringeCleaning_NMP_mqH2O_5xRinse,0,1
3,    P-2599,   2025/07/29 11:38:36,           1-01,3,              ,              ,              ,        ,     ,                                        ,                                        ,                 H2O,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,     ,              ,1,1,1,SyringeCleaning_NMP_mqH2O_5xRinse,0,1
4,    P-2599,   2025/07/29 11:48:39,           1-01,4,-10.961,1266.382,18111,0,1,                                        ,                                        ,                 H2O,1753815225,0.105,68.604,49.986,0.001,1.64,1.194,198.21,26.596,2.51,86.835,0.721,-2.409,0,0,1,43.562,1,1,2,20250722_TristanCaro,0,1
5,    P-2599,   2025/07/29 11:57:39,           1-01,5,-10.903,721.156,18549,0,1,                                        ,                                        ,                 H2O,1753815765,0.105,54.086,54.003,0.001,1.293,1.29,201,28.281,2.33,86.997,0.721,-2.521,0,0,1,43.562,1,1,2,20250722_TristanCaro,0,1
6,    P-2599,   2025/07/29 12:06:39,           1-01,6,-10.938,512.081,18466,0,1,                                        ,                                        ,                 H2O,1753816305,0.097,46.23,58.415,0.001,1.104,1.395,199.589,29.077,2.432,88.814,0.721,-1.626,0,0,1,43.5,1,1,2,20250722_TristanCaro,0,1
7,    P-2599,   2025/07/29 12:15:40,           1-01,7,-10.925,408.769,18485,0,1,                                        ,                                        ,                 H2O,1753816845,0.097,40.424,59.013,0.001,0.967,1.411,200.122,29.119,2.33,86.935,0.72,-2.061,0,0,1,43.5,1,1,2,20250722_TristanCaro,0,1
8,    P-2599,   2025/07/29 12:24:40,           1-01,8,-10.964,346.453,18497,0,1,                                        ,                                        ,                 H2O,1753817386,0.094,36.353,60.67,0,0.868,1.449,198.42,30.584,2.672,90.058,0.721,-0.495,0,0,1,43.5,1,1,2,20250722_TristanCaro,0,1
9,    P-2599,   2025/07/29 12:33:40,           1-01,9,-10.981,297.936,18487,0,1,                                        ,                                        ,                 H2O,1753817925,0.095,33.641,62.574,0.001,0.8,1.487,198.257,30.627,2.676,90.324,0.721,-0.297,0,0,1,43.5,1,1,2,20250722_TristanCaro,0,1
10,    P-2599,   2025/07/29 12:42:39,           1-01,10,-11.04,272.08,18482,0,1,                                        ,                                        ,                 H2O,1753818465,0.12,32.503,73.24,0.001,0.773,1.741,197.852,30.745,2.751,91.987,0.721,0.117,0,0,1,43.5,1,1,2,20250722_TristanCaro,0,1
11,    P-2599,   2025/07/29 12:51:39,           1-01,11,-10.901,237.749,18508,0,1,                                        ,                                        ,                 H2O,1753819005,0.114,29.047,63.364,0.001,0.691,1.506,199.619,30.076,2.378,87.46,0.721,-1.495,0,0,1,43.562,1,1,2,20250722_TristanCaro,0,1
12,    P-2599,   2025/07/29 13:00:39,           1-01,12,-10.94,209.292,18513,0,1,                                        ,                                        ,                 H2O,1753819545,0.089,27.393,64.269,0,0.655,1.536,198.442,30.704,2.654,91.055,0.721,-0.288,0,0,1,43.562,1,1,2,20250722_TristanCaro,0,1
13,    P-2599,   2025/07/29 13:09:38,           1-01,13,-10.959,196.401,18491,0,1,                                        ,                                        ,                 H2O,1753820085,0.109,26.199,67.367,0.001,0.623,1.601,199.347,30.23,2.435,88.042,0.721,-1.286,0,0,1,43.562,1,1,2,20250722_TristanCaro,0,1
14,    P-2599,   2025/07/29 13:18:39,           1-01,14,-10.923,175.98,18515,0,1,                                        ,                                        ,                 H2O,1753820625,0.105,24.522,64.41,0,0.586,1.538,199.8,29.708,2.349,88.834,0.721,-1.398,0,0,1,43.562,1,1,2,20250722_TristanCaro,0,1
15,    P-2599,   2025/07/29 13:27:40,           1-01,15,-10.939,160.271,18480,0,1,                                        ,                                        ,                 H2O,1753821166,0.106,23.608,68.061,0.001,0.561,1.618,199.78,29.544,2.348,87.882,0.721,-1.569,0,0,1,43.562,1,1,2,20250722_TristanCaro,0,1
16,    P-2599,   2025/07/29 13:36:41,           1-01,16,-10.965,146.03,18504,0,1,                                        ,                                        ,                 H2O,1753821707,0.095,22.65,68.086,0,0.539,1.619,198.495,30.685,2.592,90.764,0.721,-0.356,0,0,1,43.5,1,1,2,20250722_TristanCaro,0,1
17,    P-2599,   2025/07/29 13:45:41,           1-01,17,-10.937,138.113,18507,0,1,                                        ,                                        ,                 H2O,1753822247,0.103,21.6,64.648,0.001,0.513,1.535,199.338,30.12,2.434,89.279,0.722,-1.041,0,0,1,43.562,1,1,2,20250722_TristanCaro,0,1
18,    P-2599,   2025/07/29 13:54:41,           1-01,18,-10.92,125.505,18519,0,1,                                        ,                                        ,                 H2O,1753822787,0.096,20.75,64.48,0.001,0.495,1.539,199.66,30.426,2.334,87.526,0.722,-1.484,0,0,1,43.562,1,1,2,20250722_TristanCaro,0,1
19,    P-2599,   2025/07/29 14:03:41,           1-01,19,-10.977,117.671,18494,0,1,                                        ,                                        ,                 H2O,1753823327,0.104,20.189,65.64,0.001,0.48,1.561,198.223,31.164,2.618,90.412,0.721,-0.168,0,0,1,43.562,1,1,2,20250722_TristanCaro,0,1
20,    P-2599,   2025/07/29 14:12:40,           1-01,20,-10.97,110.321,18537,0,1,                                        ,                                        ,                 H2O,1753823866,0.103,19.41,66.53,0,0.463,1.588,198.057,31.134,2.759,92.807,0.721,0.34,0,0,1,43.562,1,1,2,20250722_TristanCaro,0,1
21,    P-2599,   2025/07/29 14:21:41,           1-01,21,-10.997,105.107,18461,0,1,                                        ,                                        ,                 H2O,1753824406,0.107,19.213,70.487,0.001,0.457,1.675,197.673,31.222,2.705,91.536,0.721,0.213,0,0,1,43.562,1,1,2,20250722_TristanCaro,0,1
22,    P-2599,   2025/07/29 14:30:42,           1-01,22,-10.942,97.445,18495,0,1,                                        ,                                        ,                 H2O,1753824948,0.11,18.278,66.399,0.001,0.436,1.586,197.893,31.084,2.687,92.373,0.721,0.191,0,0,1,43.562,1,1,3,20250722_TristanCaro,0,1
23,    P-2599,   2025/07/29 14:39:42,           1-01,23,-10.949,92.718,18495,0,1,                                        ,                                        ,                 H2O,1753825489,0.102,17.666,65.405,0,0.42,1.554,197.983,30.995,2.698,92.155,0.721,0.145,0,0,1,43.562,1,1,3,20250722_TristanCaro,0,1
24,    P-2599,   2025/07/29 14:48:42,           1-01,24,-10.945,84.963,18516,0,1,                                        ,                                        ,                 H2O,1753826028,0.102,17.28,65.955,0,0.411,1.568,197.966,31.532,2.678,91.579,0.721,0.181,0,0,1,43.562,1,1,3,20250722_TristanCaro,0,1
25,    P-2599,   2025/07/29 14:57:42,           1-01,25,-11.015,83.241,18455,0,1,                                        ,                                        ,                 H2O,1753826568,0.122,17.504,76.553,0.002,0.418,1.828,197.716,31.472,2.627,90.562,0.721,0.002,0,0,1,43.562,1,1,3,20250722_TristanCaro,0,1
26,    P-2599,   2025/07/29 15:06:42,           1-01,26,-10.961,77.108,18491,0,1,                                        ,                                        ,                 H2O,1753827108,0.097,16.564,68.562,0,0.394,1.631,197.542,31.545,2.748,92.649,0.721,0.375,0,0,1,43.5,1,1,3,20250722_TristanCaro,0,1
27,    P-2599,   2025/07/29 15:15:44,           1-01,27,-10.947,72.957,18518,0,1,                                        ,                                        ,                 H2O,1753827650,0.097,15.992,66.107,0.001,0.38,1.571,197.957,31.456,2.723,92.089,0.721,0.231,0,0,1,43.562,1,1,3,20250722_TristanCaro,0,1
28,    P-2599,   2025/07/29 15:24:44,           1-01,28,-10.92,68.131,18510,0,1,                                        ,                                        ,                 H2O,1753828191,0.1,15.63,65.949,0.001,0.372,1.569,199.447,30.296,2.393,88.511,0.721,-1.111,0,0,1,43.562,1,1,3,20250722_TristanCaro,0,1
29,    P-2599,   2025/07/29 15:33:44,           1-01,29,-10.94,63.66,18519,0,1,                                        ,                                        ,                 H2O,1753828730,0.107,15.466,70.158,0.001,0.369,1.675,198.362,31.259,2.588,90.924,0.722,-0.177,0,0,1,43.562,1,1,3,20250722_TristanCaro,0,1
30,    P-2599,   2025/07/29 15:42:44,           1-01,30,-10.951,61.473,18516,0,1,                                        ,                                        ,                 H2O,1753829270,0.095,14.956,66.131,0,0.356,1.573,197.958,30.962,2.742,93.663,0.721,0.38,0,0,1,43.562,1,1,3,20250722_TristanCaro,0,1
31,    P-2600,   2025/07/29 15:54:00,           1-02,1,-10.646,3114.374,19052,-1,1,                                        ,                                        ,                 H2O,1753829946,0.114,4.089,70.987,0.001,0.094,1.693,204.758,21.692,3.561,91.452,0.722,-3.568,0,0,1,43.562,1,2,3,20250722_TristanCaro,0,1
32,    P-2600,   2025/07/29 16:03:00,           1-02,2,-10.647,3338.389,18698,-1,1,                                        ,                                        ,                 H2O,1753830486,0.131,5.403,80.514,0.002,0.128,1.92,202.952,20.491,3.531,89.684,0.722,-3.912,0,0,1,43.562,1,2,3,20250722_TristanCaro,0,1
33,    P-2600,   2025/07/29 16:12:01,           1-02,3,-10.567,3400.211,18672,-1,1,                                        ,                                        ,                 H2O,1753831027,0.114,5.301,67.398,0.001,0.126,1.61,202.765,20.441,3.53,90.422,0.721,-3.962,0,0,1,43.688,1,2,3,20250722_TristanCaro,0,1
34,    P-2600,   2025/07/29 16:21:00,           1-02,4,-10.616,3425.278,18630,0,1,                                        ,                                        ,                 H2O,1753831566,0.109,6.078,67.507,0,0.144,1.602,202.628,19.941,3.57,89.734,0.722,-3.936,0,0,1,43.625,1,2,3,20250722_TristanCaro,0,1
35,    P-2600,   2025/07/29 16:30:00,           1-02,5,-10.636,3437.549,18648,0,1,                                        ,                                        ,                 H2O,1753832106,0.125,7.401,71.848,0.001,0.176,1.712,202.637,20.344,3.53,90.224,0.723,-3.952,0,0,1,43.688,1,2,3,20250722_TristanCaro,0,1
