  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code,Pulse Good
     1,    P-2564,   2025/07/26 15:50:34,           1-01,       1,              ,              ,              ,        ,     ,                                        ,                                        ,                 H2O,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,     ,              ,         1,       1,       1,SyringeCleaning_NMP_mqH2O_5xRinse,       0,       1
     2,    P-2564,   2025/07/26 16:00:30,           1-01,       2,              ,              ,              ,        ,     ,                                        ,                                        ,                 H2O,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,     ,              ,         1,       1,       1,SyringeCleaning_NMP_mqH2O_5xRinse,       0,       1
     3,    P-2564,   2025/07/26 16:10:25,           1-01,       3,              ,              ,              ,        ,     ,                                        ,                                        ,                 H2O,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,     ,              ,         1,       1,       1,SyringeCleaning_NMP_mqH2O_5xRinse,       0,       1
     4,    P-2564,   2025/07/26 16:20:28,           1-01,       4,       -10.996,       999.766,         18297,       0,    1,                                        ,                                        ,                 H2O, 1753572334.25,         0.105,        54.198,        49.924,         0.001,         1.297,         1.193,       197.852,        28.018,         2.879,        90.383,         0.720,        -0.628,        0.0000,        0.0000,    1,        43.625,         1,       1,       2,20250722_TristanCaro,       0,       1
     5,    P-2564,   2025/07/26 16:29:28,           1-01,       5,       -11.001,       559.370,         18574,       0,    1,                                        ,                                        ,                 H2O, 1753572874.28,         0.107,        43.407,        54.703,         0.001,         1.031,         1.300,       198.892,        29.716,         2.848,        93.033,         0.721,        -0.069,       -0.0000,       -0.0000,    1,        43.625,         1,       1,       2,20250722_TristanCaro,       0,       1
     6,    P-2564,   2025/07/26 16:38:28,           1-01,       6,       -11.019,       390.512,         18698,       0,    1,                                        ,                                        ,                 H2O, 1753573414.34,         0.090,        36.587,        58.430,         0.000,         0.870,         1.389,       199.557,        30.496,         2.774,        93.001,         0.721,        -0.087,       -0.0000,       -0.0000,    1,        43.562,         1,       1,       2,20250722_TristanCaro,       0,       1
     7,    P-2564,   2025/07/26 16:47:29,           1-01,       7,       -10.971,       319.129,         18708,       0,    1,                                        ,                                        ,                 H2O, 1753573954.81,         0.094,        31.757,        60.472,         0.000,         0.755,         1.438,       199.669,        30.693,         2.774,        92.412,         0.721,        -0.134,       -0.0000,       -0.0000,    1,        43.625,         1,       1,       2,20250722_TristanCaro,       0,       1
     8,    P-2564,   2025/07/26 16:56:29,           1-01,       8,       -11.034,       267.026,         18609,       0,    1,                                        ,                                        ,                 H2O, 1753574494.75,         0.101,        28.875,        65.417,         0.001,         0.687,         1.555,       198.862,        31.095,         2.733,        91.575,         0.721,        -0.046,       -0.0000,       -0.0000,    1,        43.625,         1,       1,       2,20250722_TristanCaro,       0,       1
     9,    P-2564,   2025/07/26 17:05:29,           1-01,       9,       -10.988,       227.105,         18704,       0,    1,                                        ,                                        ,                 H2O, 1753575034.90,         0.110,        26.173,        66.897,         0.001,         0.620,         1.583,       199.284,        31.446,         2.767,        92.508,         0.721,         0.094,       -0.0000,       -0.0000,    1,        43.625,         1,       1,       2,20250722_TristanCaro,       0,       1
    10,    P-2564,   2025/07/26 17:14:29,           1-01,      10,       -10.972,       190.442,         18747,       0,    1,                                        ,                                        ,                 H2O, 1753575574.60,         0.099,        23.710,        64.198,         0.001,         0.564,         1.526,       199.737,        31.734,         2.714,        91.439,         0.721,        -0.122,        0.0000,        0.0000,    1,        43.625,         1,       1,       2,20250722_TristanCaro,       0,       1
    11,    P-2564,   2025/07/26 17:23:29,           1-01,      11,       -10.991,       161.960,         18693,       0,    1,                                        ,                                        ,                 H2O, 1753576114.84,         0.109,        21.956,        63.811,         0.001,         0.522,         1.518,       199.381,        31.426,         2.702,        91.849,         0.721,         0.002,       -0.0000,       -0.0000,    1,        43.688,         1,       1,       2,20250722_TristanCaro,       0,       1
    12,    P-2564,   2025/07/26 17:32:28,           1-01,      12,       -10.976,       141.652,         18717,       0,    1,                                        ,                                        ,                 H2O, 1753576654.19,         0.098,        20.484,        64.072,         0.001,         0.487,         1.522,       199.411,        31.440,         2.751,        92.943,         0.721,         0.150,        0.0000,        0.0000,    1,        43.625,         1,       1,       2,20250722_TristanCaro,       0,       1
    13,    P-2565,   2025/07/26 17:43:44,           1-02,       1,       -10.740,      3169.515,         18957,      -1,    1,                                        ,                                        ,                 H2O, 1753577330.58,         0.131,        10.748,        77.458,         0.002,         0.254,         1.841,       204.467,        21.158,         3.569,        91.401,         0.721,        -3.622,        0.0000,        0.0000,    1,        43.562,         1,       2,       2,20250722_TristanCaro,       0,       1
    14,    P-2565,   2025/07/26 17:52:45,           1-02,       2,       -10.616,      3393.612,         18880,      -1,    1,                                        ,                                        ,                 H2O, 1753577870.42,         0.112,         8.411,        66.480,         0.000,         0.200,         1.582,       204.472,        20.692,         3.534,        89.334,         0.720,        -4.327,        0.0000,        0.0000,    1,        43.562,         1,       2,       2,20250722_TristanCaro,       0,       1
    15,    P-2565,   2025/07/26 18:01:45,           1-02,       3,       -10.596,      3436.281,         18811,      -1,    1,                                        ,                                        ,                 H2O, 1753578411.10,         0.119,         8.845,        66.768,         0.001,         0.210,         1.586,       204.072,        20.306,         3.539,        89.215,         0.721,        -4.289,       -0.0000,       -0.0000,    1,        43.625,         1,       2,       2,20250722_TristanCaro,       0,       1
    16,    P-2565,   2025/07/26 18:10:45,           1-02,       4,       -10.652,      3455.078,         18813,       0,    1,                                        ,                                        ,                 H2O, 1753578951.28,         0.126,         9.305,        68.861,         0.001,         0.221,         1.636,       203.978,        20.037,         3.583,        91.193,         0.721,        -4.066,       -0.0000,       -0.0000,    1,        43.625,         1,       2,       2,20250722_TristanCaro,       0,       1
    17,    P-2565,   2025/07/26 18:19:45,           1-02,       5,       -10.646,      3466.591,         18783,       0,    1,                                        ,                                        ,                 H2O, 1753579490.96,         0.110,         9.277,        68.960,         0.001,         0.221,         1.646,       203.723,        20.097,         3.599,        90.533,         0.721,        -4.043,       -0.0000,       -0.0000,    1,        43.625,         1,       2,       2,20250722_TristanCaro,       0,       1
    18,    P-2565,   2025/07/26 18:28:45,           1-02,       6,       -10.632,      3470.256,         18781,       0,    1,                                        ,                                        ,                 H2O, 1753580030.72,         0.107,         9.024,        66.890,         0.000,         0.215,         1.598,       203.948,        20.143,         3.551,        89.558,         0.721,        -4.363,        0.0000,        0.0000,    1,        43.688,         1,       2,       2,20250722_TristanCaro,       0,       1
    19,    P-2565,   2025/07/26 18:37:45,           1-02,       7,       -10.651,      3472.258,         18666,       0,    1,                                        ,                                        ,                 H2O, 1753580570.78,         0.116,         8.960,        68.273,         0.001,         0.214,         1.632,       203.114,        20.154,         3.529,        88.983,         0.721,        -4.250,        0.0000,        0.0000,    1,        43.625,         1,       2,       2,20250722_TristanCaro,       0,       1
    20,    P-2565,   2025/07/26 18:46:45,           1-02,       8,       -10.683,      3470.623,         18748,       0,    1,                                        ,                                        ,                 H2O, 1753581110.71,         0.113,         9.446,        73.175,         0.001,         0.225,         1.741,       203.648,        20.155,         3.546,        89.846,         0.721,        -4.203,        0.0000,        0.0000,    1,        43.625,         1,       2,       2,20250722_TristanCaro,       0,       1
    21,    P-2565,   2025/07/26 18:55:45,           1-02,       9,       -10.655,      3470.329,         18758,       0,    1,                                        ,                                        ,                 H2O, 1753581650.66,         0.116,         8.872,        70.674,         0.001,         0.211,         1.681,       203.870,        20.406,         3.499,        88.105,         0.721,        -4.562,       -0.0000,       -0.0000,    1,        43.688,         1,       2,       2,20250722_TristanCaro,       0,       1
    22,    P-2566,   2025/07/26 19:07:02,           1-03,       1,       -10.226,      7492.579,         19206,      -1,    1,                                        ,                                        ,                 H2O, 1753582327.90,         0.157,         3.717,        78.979,         0.001,        -0.066,         1.881,       212.340,         6.861,         4.744,        94.172,         0.723,       -11.008,        0.0000,        0.0000,    1,        43.750,         1,       3,       2,20250722_TristanCaro,       0,       1
    23,    P-2566,   2025/07/26 19:16:02,           1-03,       2,       -10.161,      7800.551,         18776,      -1,    1,                                        ,                                        ,                 H2O, 1753582867.96,         0.161,         3.288,        81.984,         0.002,        -0.069,         1.951,       209.785,         6.354,         4.663,        92.297,         0.723,       -11.326,        0.0000,        0.0000,    1,        43.625,         1,       3,       2,20250722_TristanCaro,       0,       1
