localizeddatetime\r\n',temp,windSpeed,windDirection,humidity,dayRain_c,dayET_c
2025-07-07 16:00:00\r\n',68.5,7,254.4094488,59.5,,
2025-07-07 16:15:00\r\n',67.9,6,18.37401575,60.5,,
2025-07-07 16:30:00\r\n',69.6,6,329.3188976,58,0,
2025-07-07 17:00:00\r\n',68.1,2,344.8661417,60,0,
2025-07-07 17:30:00\r\n',65.7,3,14.13385827,63.5,0,
2025-07-07 17:45:00\r\n',64.9,1,349.1062992,65,0,
2025-07-07 18:00:00\r\n',64.5,5,333.5590551,65.5,0,
2025-07-07 18:15:00\r\n',63.5,5,303.8779528,67,0,
2025-07-07 18:30:00\r\n',62,7,343.4527559,70,0,
2025-07-07 18:45:00\r\n',60.4,1,7.066929134,72.5,0,
2025-07-07 18:46:00\r\n',,,,,0,
2025-07-07 19:00:00\r\n',59.5,6,346.2795276,74,0,
2025-07-07 19:15:00\r\n',57.9,4,344.8661417,77,0,
2025-07-07 19:30:00\r\n',56.4,3,323.6653543,80,0,
2025-07-07 19:45:00\r\n',55.2,0,302.4645669,83,0,
2025-07-07 20:00:00\r\n',54.4,3,4.24015748,85,0,
2025-07-07 20:15:00\r\n',53.8,2,316.5984252,86.5,0,
2025-07-07 20:30:00\r\n',53.3,3,337.7992126,88,0,
2025-07-07 20:45:00\r\n',53,0,19.78740157,88.5,0,
2025-07-07 22:15:00\r\n',53.2,2,340.6259843,91.5,0,
2025-07-07 22:30:00\r\n',53.3,4,323.6653543,91.5,0,
2025-07-07 22:45:00\r\n',53.3,2,326.492126,91.5,0,
2025-07-07 23:00:00\r\n',53.3,2,346.2795276,91.5,0,
2025-07-07 23:15:00\r\n',53.3,4,326.492126,91.5,0,
2025-07-07 23:30:00\r\n',53.2,2,254.4094488,92,0,
2025-07-07 23:45:00\r\n',53.3,1,313.7716535,92,0,
2025-07-08 00:00:00\r\n',53.2,3,325.0787402,92,0,0
2025-07-08 00:15:00\r\n',53.2,2,332.1456693,92,0,0.000220986
2025-07-08 00:30:00\r\n',53.1,3,318.011811,92.5,0,0.00025386
2025-07-08 00:45:00\r\n',53.1,1,327.9055118,92.5,0,0.000278344
2025-07-08 01:00:00\r\n',53,3,322.2519685,92.5,0,0.000302795
2025-07-08 01:15:00\r\n',52.8,4,332.1456693,93,0,0.00034389
2025-07-08 01:30:00\r\n',52.6,1,319.4251969,93,0,0.000372235
2025-07-08 01:45:00\r\n',52.5,4,322.2519685,93.5,0,0.00039909
2025-07-08 02:15:00\r\n',52.4,2,342.0393701,94,0,0.000457425
2025-07-08 02:30:00\r\n',52.3,1,330.7322835,94,0,0.000468019
2025-07-08 02:45:00\r\n',52.2,2,329.3188976,94,0,0.000478578
2025-07-08 03:15:00\r\n',52.1,2,326.492126,94,0,0.000512364
2025-07-08 03:30:00\r\n',52.1,1,330.7322835,94.5,0,0.000521941
2025-07-08 03:45:00\r\n',52,1,14.13385827,94.5,0,0.000523743
2025-07-08 04:00:00\r\n',51.9,0,254.4094488,94.5,0,0.000523743
2025-07-08 04:15:00\r\n',51.9,2,333.5590551,94.5,0,0.00052552
2025-07-08 04:30:00\r\n',51.7,2,315.1850394,94.5,0,0.000539933
2025-07-08 05:00:00\r\n',51.3,2,346.2795276,95,0,0.000566207
2025-07-08 05:15:00\r\n',51.2,2,310.9448819,95,0,0.000578102
2025-07-08 05:30:00\r\n',51,0,322.2519685,95.5,0,0.000578102
2025-07-08 05:45:00\r\n',51.1,0,309.5314961,95.5,0,0.000578102
2025-07-08 06:00:00\r\n',51.3,0,316.5984252,95.5,0,0.000578102
2025-07-08 06:15:00\r\n',51.3,3,325.0787402,95.5,0,0.000665235
2025-07-08 06:30:00\r\n',51.3,2,319.4251969,96,0,0.000884545
2025-07-08 06:45:00\r\n',51.4,3,330.7322835,96,0,0.001262816
2025-07-08 07:00:00\r\n',51.4,2,332.1456693,96,0,0.001873448
2025-07-08 07:45:00\r\n',51.9,2,316.5984252,96,0,0.00577261
2025-07-08 08:00:00\r\n',52,2,347.6929134,96,0,0.007945448
