localizeddatetime\r\n',temp,windSpeed,windDirection,humidity,dayRain_c,dayET_c
2024-08-04 00:00:00\r\n',52.2,2,295.3976378,93.5,0,0.000188557
2024-08-04 00:15:00\r\n',51.2,0,315.1850394,93.5,0,0.000376177
2024-08-04 00:30:00\r\n',52,0,315.1850394,94,0,0.000543648
2024-08-04 00:45:00\r\n',51.5,0,315.1850394,93.5,0,0.000543648
2024-08-04 01:00:00\r\n',51.1,2,296.8110236,93.5,0,0.000548086
2024-08-04 01:15:00\r\n',51.3,1,289.7440945,94,0,0.000559427
2024-08-04 01:30:00\r\n',51.9,0,284.0905512,94.5,0,0.000559427
2024-08-04 01:45:00\r\n',51.4,0,284.0905512,94,0,0.000559427
2024-08-04 02:00:00\r\n',51.2,0,298.2244094,94,0,0.000559427
2024-08-04 02:15:00\r\n',51.4,1,336.3858268,94.5,0,0.000559427
2024-08-04 02:30:00\r\n',50.8,0,309.5314961,94,0,0.000559427
2024-08-04 02:45:00\r\n',51.3,0,309.5314961,94.5,0,0.000559427
2024-08-04 03:00:00\r\n',50.7,1,309.5314961,94.5,0,0.000559427
2024-08-04 03:15:00\r\n',50,0,309.5314961,94,0,0.000559427
2024-08-04 03:30:00\r\n',50.7,0,313.7716535,94.5,0,0.000559427
2024-08-04 03:45:00\r\n',50.8,0,313.7716535,95,0,0.000559427
2024-08-04 04:00:00\r\n',50.8,0,313.7716535,95,0,0.000559427
2024-08-04 04:15:00\r\n',50.8,0,313.7716535,95,0,0.000559427
2024-08-04 04:30:00\r\n',50.1,0,313.7716535,95,0,0.000559427
2024-08-04 04:45:00\r\n',50.8,0,313.7716535,95.5,0,0.000559427
2024-08-04 05:00:00\r\n',49.9,0,313.7716535,95,0,0.000559427
2024-08-04 05:15:00\r\n',50.4,0,313.7716535,95.5,0,0.000559427
2024-08-04 05:30:00\r\n',50.5,0,269.9566929,95.5,0,0.000559427
2024-08-04 05:45:00\r\n',50.8,4,319.4251969,95.5,0,0.000569038
2024-08-04 06:00:00\r\n',50.9,0,340.6259843,95.5,0,0.000586655
2024-08-04 06:15:00\r\n',51.1,4,4.24015748,96,0,0.000658311
2024-08-04 06:30:00\r\n',51.5,3,289.7440945,95.5,0,0.000845581
2024-08-04 06:45:00\r\n',51.7,2,254.4094488,96,0,0.00136755
2024-08-04 07:00:00\r\n',51.9,0,302.4645669,95.5,0,0.002300829
2024-08-04 07:15:00\r\n',52.3,0,7.066929134,96,0,0.004024993
2024-08-04 07:30:00\r\n',53.1,0,46.64173228,95.5,0,0.006562371
2024-08-04 07:45:00\r\n',53.8,2,7.066929134,95.5,0,0.009638216
2024-08-04 08:00:00\r\n',54.1,3,7.066929134,94.5,0,0.01302431
2024-08-04 08:15:00\r\n',54.7,2,7.066929134,94.5,0,0.01597215
2024-08-04 08:30:00\r\n',55,2,7.066929134,93,0,0.021867623
2024-08-04 08:45:00\r\n',56.6,2,7.066929134,92.5,0,0.029465788
2024-08-04 09:00:00\r\n',57.7,2,7.066929134,89.5,0,0.038095661
2024-08-04 09:15:00\r\n',59.9,3,57.9488189,88,0,0.050163996
2024-08-04 09:30:00\r\n',61.2,0,90.45669291,83,0,0.063778244
2024-08-04 09:45:00\r\n',62.9,1,89.04330709,80,0,0.078903292
2024-08-04 10:00:00\r\n',63.9,1,135.6850394,76.5,0,0.095424429
2024-08-04 10:15:00\r\n',65.5,1,94.69685039,75,0,0.113284023
2024-08-04 10:30:00\r\n',67.2,5,122.9645669,74,0,0.131584095
2024-08-04 10:45:00\r\n',67.4,1,137.0984252,73.5,0,0.151019722
2024-08-04 11:00:00\r\n',69,2,346.2795276,70,0,0.17233122
2024-08-04 11:15:00\r\n',70,3,114.484252,68.5,0,0.194188377
2024-08-04 11:30:00\r\n',71.7,2,101.7637795,67.5,0,0.217097106
2024-08-04 11:45:00\r\n',72.4,5,306.7047244,64.5,0,0.240389488
2024-08-04 12:00:00\r\n',73.3,1,16.96062992,64,0,0.264695961
2024-08-04 12:15:00\r\n',75,2,56.53543307,60.5,0,0.290626263
2024-08-04 12:30:00\r\n',73.5,7,315.1850394,62.5,0,0.315296176
2024-08-04 12:45:00\r\n',74.2,7,327.9055118,61,0,0.338899309
2024-08-04 13:00:00\r\n',75.3,2,301.0511811,61,0,0.364078407
2024-08-04 13:15:00\r\n',76.4,4,74.90944882,58,0,0.390312765
2024-08-04 13:30:00\r\n',76,3,90.45669291,59,0,0.416296137
2024-08-04 13:45:00\r\n',75.5,0,4.24015748,59.5,0,0.442997226
2024-08-04 14:00:00\r\n',73.9,5,302.4645669,60,0,0.468424321
2024-08-04 14:15:00\r\n',73.9,7,308.1181102,59.5,0,0.491444134
2024-08-04 14:30:00\r\n',72.6,10,312.3582677,60.5,0,0.512768927
2024-08-04 14:45:00\r\n',71.6,9,303.8779528,62.5,0,0.532872065
2024-08-04 15:00:00\r\n',71.5,8,298.2244094,62.5,0,0.552565921
2024-08-04 15:15:00\r\n',71.3,8,312.3582677,62,0,0.571727614
2024-08-04 15:30:00\r\n',69.4,9,301.0511811,65.5,0,0.589704804
2024-08-04 15:45:00\r\n',71.4,4,340.6259843,63,0,0.607566076
2024-08-04 16:00:00\r\n',70,7,296.8110236,64.5,0,0.624890488
2024-08-04 16:15:00\r\n',68.6,6,305.2913386,65.5,0,0.640557198
2024-08-04 16:30:00\r\n',67.2,7,309.5314961,68,0,0.65492168
2024-08-04 16:45:00\r\n',66.6,7,295.3976378,70,0,0.667896051
2024-08-04 17:00:00\r\n',67.1,5,309.5314961,69,0,0.680048893
2024-08-04 17:15:00\r\n',67.5,8,306.7047244,68.5,0,0.691090192
2024-08-04 17:30:00\r\n',67.8,3,295.3976378,67,0,0.701249739
2024-08-04 17:45:00\r\n',67.8,6,292.5708661,66.5,0,0.710408074
2024-08-04 18:00:00\r\n',67.2,7,313.7716535,68,0,0.718068988
2024-08-04 18:15:00\r\n',66.2,5,305.2913386,70,0,0.724478052
2024-08-04 18:30:00\r\n',64.9,5,285.503937,72.5,0,0.729649841
2024-08-04 18:45:00\r\n',63.5,10,291.1574803,74,0,0.733365711
2024-08-04 19:00:00\r\n',62,8,7.066929134,76.5,0,0.735810037
2024-08-04 19:15:00\r\n',60.7,2,7.066929134,79.5,0,0.73714928
2024-08-04 19:30:00\r\n',59.1,7,7.066929134,82,0,0.73767516
2024-08-04 19:45:00\r\n',57.5,1,7.066929134,84,0,0.737775786
2024-08-04 20:00:00\r\n',56.4,5,7.066929134,87,0,0.737775786
2024-08-04 20:15:00\r\n',55.5,4,7.066929134,88.5,0,0.737775786
2024-08-04 20:30:00\r\n',55,1,7.066929134,89.5,0,0.737775786
2024-08-04 20:45:00\r\n',54.6,7,7.066929134,90.5,0,0.737775786
2024-08-04 21:00:00\r\n',54.2,3,7.066929134,91,0,0.737775786
2024-08-04 21:15:00\r\n',54.1,0,7.066929134,92,0,0.737775786
2024-08-04 21:30:00\r\n',53.9,4,7.066929134,92.5,0,0.737775786
2024-08-04 21:45:00\r\n',53.8,3,7.066929134,92.5,0,0.737775786
2024-08-04 22:00:00\r\n',53.7,6,7.066929134,93,0,0.737775786
2024-08-04 22:15:00\r\n',53.5,1,7.066929134,93.5,0,0.737775786
2024-08-04 22:30:00\r\n',53.3,1,7.066929134,93.5,0,0.737775786
2024-08-04 22:45:00\r\n',53.1,0,7.066929134,93.5,0,0.737775786
2024-08-04 23:00:00\r\n',52.6,0,7.066929134,93.5,0,0.737775786
2024-08-04 23:15:00\r\n',52.8,0,7.066929134,93.5,0,0.737775786
2024-08-04 23:30:00\r\n',52.9,1,7.066929134,94,0,0.737775786
2024-08-04 23:45:00\r\n',52.8,4,7.066929134,94.5,0,0.737775786
2024-08-05 00:00:00\r\n',52.7,0,7.066929134,94.5,0,0
2024-08-05 00:15:00\r\n',52.5,0,7.066929134,94.5,0,0
2024-08-05 00:30:00\r\n',52.5,1,340.6259843,94.5,0,0
2024-08-05 00:45:00\r\n',52.1,5,322.2519685,95,0,2.31E-05
2024-08-05 01:00:00\r\n',52,2,301.0511811,95,0,4.82E-05
2024-08-05 01:15:00\r\n',52,2,12.72047244,95,0,6.06E-05
2024-08-05 01:30:00\r\n',51.9,1,301.0511811,95,0,6.75E-05
2024-08-05 01:45:00\r\n',51.9,1,306.7047244,95.5,0,6.75E-05
2024-08-05 02:00:00\r\n',51.7,1,8.480314961,95.5,0,6.75E-05
2024-08-05 02:15:00\r\n',51.8,1,340.6259843,95.5,0,6.75E-05
2024-08-05 02:30:00\r\n',51.8,4,285.503937,95.5,0,8.18E-05
2024-08-05 02:45:00\r\n',51.6,0,269.9566929,95.5,0,9.18E-05
2024-08-05 03:00:00\r\n',51.6,0,139.9251969,95.5,0,9.18E-05
2024-08-05 03:15:00\r\n',51.7,0,93.28346457,96,0,9.18E-05
2024-08-05 03:30:00\r\n',51.6,0,70.66929134,95.5,0,9.18E-05
2024-08-05 03:45:00\r\n',51.8,0,83.38976378,96,0,9.18E-05
2024-08-05 04:00:00\r\n',51.8,0,42.4015748,96,0,9.18E-05
2024-08-05 04:15:00\r\n',51.9,0,43.81496063,96,0,9.18E-05
2024-08-05 04:30:00\r\n',51.6,2,302.4645669,96,0,9.18E-05
2024-08-05 04:45:00\r\n',51.4,0,288.3307087,96,0,9.18E-05
2024-08-05 05:00:00\r\n',51.5,3,316.5984252,96,0,9.49E-05
2024-08-05 05:15:00\r\n',51.2,1,340.6259843,96,0,0.000102413
2024-08-05 05:30:00\r\n',51.2,0,303.8779528,96,0,0.000102413
2024-08-05 05:45:00\r\n',51.5,0,189.3937008,96,0,0.000102413
2024-08-05 06:00:00\r\n',51.5,2,7.066929134,96,0,0.000109533
2024-08-05 06:15:00\r\n',51.6,1,347.6929134,96,0,0.000157518
2024-08-05 06:30:00\r\n',51.5,0,301.0511811,96,0,0.000250701
2024-08-05 06:45:00\r\n',51.5,2,322.2519685,96,0,0.000481783
2024-08-05 07:00:00\r\n',51.6,0,292.5708661,96.5,0,0.001051743
2024-08-05 07:15:00\r\n',51.9,3,53.70866142,96.5,0,0.002027924
2024-08-05 07:30:00\r\n',52,1,11.30708661,96.5,0,0.00342879
2024-08-05 07:45:00\r\n',52.6,0,77.73622047,96.5,0,0.005349213
2024-08-05 08:00:00\r\n',53,2,87.62992126,96.5,0,0.007795189
2024-08-05 08:15:00\r\n',52.9,0,100.3503937,96,0,0.011093888
2024-08-05 08:30:00\r\n',53.9,1,74.90944882,96,0,0.015114702
2024-08-05 08:45:00\r\n',54.4,0,163.9527559,96,0,0.019831889
2024-08-05 09:00:00\r\n',55.8,0,7.066929134,95.5,0,0.027344977
2024-08-05 09:15:00\r\n',58.2,1,69.25590551,92,0,0.038716842
2024-08-05 09:30:00\r\n',60.2,2,121.5511811,86.5,0,0.052205144
2024-08-05 09:45:00\r\n',61.4,3,77.73622047,83.5,0,0.066556449
2024-08-05 10:00:00\r\n',63.7,3,130.0314961,79.5,0,0.08210218
2024-08-05 10:15:00\r\n',67,1,117.3110236,76.5,0,0.099873334
2024-08-05 10:30:00\r\n',67.8,2,118.7244094,73.5,0,0.119411928
2024-08-05 10:45:00\r\n',69.1,4,77.73622047,72.5,0,0.139299073
2024-08-05 11:00:00\r\n',70.8,4,96.11023622,71.5,0,0.159837683
2024-08-05 11:15:00\r\n',71.6,4,80.56299213,67,0,0.181421191
