sample,Acidobacteriota,Actinomycetota,Aquificota,Armatimonadota,Artverviricota,Atribacterota,Bacillota,Bacteroidota,Balneolota,Bdellovibrionota,Caldisericota,Calditrichota,Campylobacterota,Candidatus Absconditibacteriota,Candidatus Bipolaricaulota,Candidatus Cloacimonadota,Candidatus Fervidibacterota,Candidatus Nanohalarchaeota,Candidatus Omnitrophota,Candidatus Saccharimonadota,Chlamydiota,Chlorobiota,Chloroflexota,Chordata,Chrysiogenota,Coprothermobacterota,Cossaviricota,Cressdnaviricota,Cyanobacteriota,Deferribacterota,Deinococcota,Dictyoglomota,Dividoviricota,Duplornaviricota,Elusimicrobiota,Fibrobacterota,Fidelibacterota,Fusobacteriota,Gemmatimonadota,Heterolobosea,Ignavibacteriota,Kiritimatiellota,Kitrinoviricota,Lenarviricota,Lentisphaerota,Methanobacteriota,Microcaldota,Minisyncoccota,Mycoplasmatota,Myxococcota,Nanobdellota,Negarnaviricota,Nitrososphaerota,Nitrospinota,Nitrospirota,Nucleocytoviricota,Peploviricota,Pisuviricota,Planctomycetota,Preplasmiviricota,Promethearchaeota,Pseudomonadota,Rhodothermota,Saleviricota,Spirochaetota,Synergistota,Taleaviricota,Thermodesulfobacteriota,Thermodesulfobiota,Thermomicrobiota,Thermoplasmatota,Thermoproteota,Thermosulfidibacterota,Thermotogota,Uroviricota,Verrucomicrobiota,Vulcanimicrobiota
JR71_7,0.00453394906382842,0.5100224079625842,2.1928826971171403e-05,0.00013428250990251466,0.0,1.125892958074725e-05,0.04493218329342135,0.00955967268861202,1.8815371108035017e-05,0.00021233768986590143,2.1036863940110706e-06,8.431575067196371e-06,0.00026471106633120105,1.605533455909249e-05,1.8344145355776538e-05,9.929399779732253e-07,4.661769049128533e-06,9.929399779732253e-07,7.674247965352386e-06,1.6728514205176034e-05,3.3945083653762636e-05,0.00012581727585301412,0.0006540276851524659,0.027323234258623805,1.3480422412822941e-05,1.8175850444255652e-06,8.91963031060694e-07,7.573271018439855e-07,0.0014643508546343781,1.3884330200473067e-05,0.001593517199226658,2.5917416374216393e-06,8.751335399086055e-07,2.137345376315248e-06,7.455464580375235e-06,6.849602898900046e-06,2.8105250223987907e-06,7.167680281674521e-05,0.002393338766229667,2.372958252444488e-06,9.256220133648712e-06,0.0001228889443925507,1.632460641752591e-06,1.8680735178818309e-06,2.5917416374216393e-06,0.006270129859551333,0.0,4.762745996041064e-06,8.911215565030896e-05,0.01884423368536085,0.0,2.1036863940110706e-06,0.0005619871980416935,2.6001563829976835e-05,0.0002932202243428391,1.666119624056768e-05,6.0990075935168964e-05,1.4641657302317053e-06,0.0173595696349059,2.7768660400946133e-06,2.5917416374216393e-06,0.34542828471655174,0.0006514022845327401,0.0,0.00026593961918530354,0.00014971515328897987,0.0,0.0029961374803151755,2.288810796684045e-06,0.00020924106349391714,8.91963031060694e-06,7.179460925480982e-05,1.9858799559464506e-06,0.00020363684294027166,0.000522740824675023,0.0022202979382038926,9.040802646901977e-05
JR72_8,0.004938261320508763,0.521773440799269,2.088125994094492e-05,0.00013916539612892771,0.0,1.057885543345312e-05,0.04251747050056674,0.008300826083284934,1.9572725558061347e-05,0.00019097229965407879,2.1747472842290387e-06,9.509911853069355e-06,0.00025800243416883317,2.0162487533445494e-05,2.095498018786794e-05,1.179523950768292e-06,4.5706553092271324e-06,1.0873736421145193e-06,8.569978704800873e-06,1.804303043440872e-05,3.1865576732474644e-05,0.0001344657303875853,0.0007044522495346317,0.02814198549045472,1.929627463210003e-05,1.4375448149988561e-06,0.0,0.0,0.0015336391568630103,1.4762479446334407e-05,0.0016999704639830704,2.2300374694213024e-06,1.1426638273067831e-06,2.1747472842290387e-06,7.39045475403258e-06,6.561101976148625e-06,2.8197994448054485e-06,6.444992587244872e-05,0.002628919295460023,1.179523950768292e-06,9.546771976530865e-06,0.00013745140038796754,1.9720166051907386e-06,1.9720166051907386e-06,2.4696282719211117e-06,0.006630472728503185,7.003423457686735e-07,3.907173086919968e-06,8.182947408455027e-05,0.0219605796460831,0.0,1.5112650619218743e-06,0.0005651209828501272,2.8492875435746557e-05,0.000311855074546098,1.8964533520946447e-05,6.402603445264136e-05,1.5481251853833835e-06,0.0185698906091058,3.0778203090360123e-06,2.4696282719211117e-06,0.33040189071791687,0.0006978542874350216,0.0,0.00030029942584091485,0.00015545757069891476,0.0,0.0032611072729483662,1.7877159878831927e-06,0.0002254918052757821,8.662129013454645e-06,7.69455077259003e-05,1.8430061730754565e-06,0.00022018394749732478,0.000488544076358842,0.002409601560864044,9.830594927184485e-05
JR73_9,0.004369566448485102,0.5106332935499533,1.896308279227114e-05,0.0001312184403657959,0.0,1.1499700809770853e-05,0.04383818461793318,0.01041242313744677,1.9313404803694623e-05,0.00021905787688228397,2.4522540799643807e-06,8.499116624969716e-06,0.0002457585067094738,1.8719380523454805e-05,1.8262438769424174e-05,8.072637654541128e-07,4.58464893210732e-06,1.1423543850765748e-06,7.49384476610233e-06,1.7835959798995586e-05,2.9670751228388902e-05,0.00012363320724888743,0.0006384390187315961,0.028738148339804186,1.3525475919306644e-05,1.7973042325204776e-06,6.549498474439028e-07,5.787928884387979e-07,0.001518356523076579,1.344931896030154e-05,0.001577789413884163,2.5436424307705065e-06,8.224951572551338e-07,2.1933204193470234e-06,7.4176878070972255e-06,6.031631153204314e-06,3.015815576602157e-06,6.642409964425257e-05,0.0023355359245931565,2.2847087701531497e-06,9.367305957627913e-06,0.00011824129455132599,1.5079077883010786e-06,2.0867006767398767e-06,2.6045679979745905e-06,0.006089921689626822,5.635614966377769e-07,4.371409446893026e-06,8.109192994863578e-05,0.019454112401152458,0.0,1.5840647473061837e-06,0.0005536153977917102,2.5893366061735694e-05,0.0002837151350776181,1.664791123851595e-05,5.995075812881864e-05,1.3403624784898478e-06,0.016918161823241466,2.8025760913878634e-06,2.5436424307705065e-06,0.34408876233700847,0.0006300465218492335,0.0,0.0002617971622759489,0.00014258105864935756,0.0,0.002854621757171952,2.2390145947500865e-06,0.00020664429256445185,8.666661934780947e-06,7.212064017783442e-05,1.8125356243214986e-06,0.00019849549795090564,0.000475843911255697,0.002276925528942828,8.793082486729421e-05
JRP1_1,0.00483744808909927,0.5658989394634716,2.066810021688693e-05,0.0001486215102056078,0.0,1.1952433159684204e-05,0.022051075966799276,0.007462785703190639,2.06006675897519e-05,0.00014538474410312634,2.41071642007735e-06,8.243638667257511e-06,0.00022778741446213393,3.118759004995173e-06,2.390486631936841e-05,8.597659959716423e-07,5.074305191911065e-06,1.0283475638092193e-06,9.069688349661637e-06,1.4801461656139253e-05,2.5742405408797995e-05,0.00013518555924895293,0.0007107230318464405,0.028503366894214694,2.0044348415887897e-05,2.41071642007735e-06,0.0,0.0,0.001524078522192398,1.3553958054141185e-05,0.0017544283764856629,1.8712554029971039e-06,1.1126383477280077e-06,1.921829873348377e-06,7.603028709474719e-06,6.035220128585254e-06,3.219907945697719e-06,5.8750676391395555e-05,0.0026093223651467994,5.731773306477616e-07,8.783099684337757e-06,0.0001396698289534325,1.4498014834031615e-06,1.8206809326458307e-06,2.7647377125362616e-06,0.006873879712263631,0.0,2.140985911537227e-06,5.927327925169204e-05,0.02092722694481007,0.0,1.6352412080244962e-06,0.0005570440746057054,3.0698703503222755e-05,0.00032667736215565653,1.6015248944569808e-05,6.401042130792796e-05,1.4498014834031615e-06,0.017442376207098816,2.916461123590081e-06,1.3317943859168576e-06,0.30911062332596395,0.0007235689473156639,0.0,0.0003146912126824048,0.000164400744955205,0.0,0.0032585805573596594,2.0566951276184386e-06,0.00022793913787318775,7.4850216119884155e-06,7.034908825862084e-05,1.9555461869158923e-06,0.0002169644778069615,0.0004692973685462466,0.0025933071162022297,0.00010389682025829866
JRP2_2,0.00496568583815569,0.5642696925579914,2.1025768731605267e-05,0.0001568136159788805,0.0,1.1778721462909483e-05,0.021606487591052576,0.007591997446527662,2.128322712423717e-05,0.00013990718152938567,2.553129060266354e-06,9.375776465011737e-06,0.00024621604282030823,1.4160211594754568e-06,2.5316741942136956e-05,1.0512884365802635e-06,5.170622718690683e-06,1.1585627668435555e-06,9.011043742116544e-06,1.716389284212675e-05,2.9006978903194208e-05,0.00013896316742306869,0.000746479154570145,0.027197539864911153,2.151923065081641e-05,2.0167574089498932e-06,7.509203118430453e-07,7.938300439483622e-07,0.0015957914821306818,1.4224576192912544e-05,0.0018686973783204972,2.1669414713185023e-06,1.2014724989488724e-06,2.810587452898255e-06,8.152849100010207e-06,7.788116377115012e-06,3.5615077647413007e-06,6.46220565506072e-05,0.0026327909779198747,7.509203118430453e-07,9.804873786064906e-06,0.00014321123090149508,1.37311142737014e-06,2.6389485244769876e-06,3.1753201757934487e-06,0.007372106524353965,7.080105797377284e-07,4.162244014215737e-06,6.168273990139301e-05,0.02121770396331235,0.0,1.330201695264823e-06,0.0006203245421805134,3.108810091030208e-05,0.00034877030255201554,1.61555141376518e-05,6.940649168035005e-05,1.566205221844066e-06,0.017597774598309662,3.089500711582815e-06,1.6520246860546997e-06,0.31054185058046035,0.0007702082364243853,0.0,0.0003212866191385601,0.00017865466962048681,0.0,0.003451251208096689,1.4374760255281153e-06,0.00023971521840635273,7.788116377115012e-06,7.991937604615268e-05,2.0382122750025517e-06,0.00022868741725528627,0.0005167404488782784,0.002600179581519834,0.00010978454959145322
JRP3_3,0.005525347512509569,0.5470362894341239,2.2308072855751722e-05,0.00016263102445928908,0.0,1.3826929205040772e-05,0.024132239873016742,0.008067966160769845,2.3044882008401287e-05,0.00013982129430811639,2.712084753369675e-06,1.045641925143106e-05,0.0002654080628586624,1.207112867106734e-06,2.2245365693824097e-05,1.332527190961979e-06,9.797994051191023e-06,1.1130521242153003e-06,9.656902936853872e-06,1.9956554283465877e-05,3.873734928078883e-05,0.00015151618000761797,0.0007622682603921797,0.027572323422785153,2.138314221731929e-05,1.990952391202016e-06,8.151931050590931e-07,6.270716192762255e-07,0.0016778868852783603,1.3607454138294092e-05,0.0018514916630749834,2.288811410358223e-06,1.3952343528896017e-06,2.116366715057261e-06,8.26166858396427e-06,7.2426772026404046e-06,3.5586314393925794e-06,6.742587586267614e-05,0.0035881508358700078,1.1757592861429228e-06,1.0550479994322494e-05,0.00014993282416894552,1.426587933853413e-06,2.6964079628877697e-06,3.1353580963811273e-06,0.00724543631776522,7.995163145771874e-07,1.3011736099981678e-06,7.248947918833166e-05,0.02107496787002599,0.0,1.5206486767448467e-06,0.0006922086837285434,3.357968521224187e-05,0.0004041790122044911,1.9157037968888687e-05,7.076503223532204e-05,2.116366715057261e-06,0.019040857274627284,3.793783296621164e-06,1.8655380673467707e-06,0.3213949923032446,0.0007726306189007193,0.0,0.0003554398705962465,0.0001763011857595108,0.0,0.003379257602698615,1.943922019756299e-06,0.00023712713282930467,8.355729326855704e-06,7.918346872410538e-05,2.1320435055391668e-06,0.00023430531054256164,0.0005061095039178416,0.002666418262695884,0.00011139927316442146
JS71_10,0.005498469666364166,0.5475142011127584,2.293739189730078e-05,0.00016400235206570055,0.0,1.2500878584028923e-05,0.01796815339741276,0.0077418940485823795,2.092217818060935e-05,0.00011242598799948424,1.7039205409423435e-06,9.17495675892031e-06,0.00023315858863606238,1.4090112165484763e-06,2.5394969600583004e-05,1.343475811127617e-06,6.913985271900663e-06,9.830310813128905e-07,1.0157987840233202e-05,2.298654345136642e-05,3.4848451832541965e-05,0.0001518127666574207,0.0007337999344973622,0.03669935190399194,2.339613973524679e-05,2.2937391897300775e-06,7.536571623398827e-07,0.0,0.0015548438774612436,1.55646587874541e-05,0.0018761312025370065,2.047981419401855e-06,1.04856648673375e-06,0.0,8.503218853356502e-06,7.2088945962945295e-06,3.7846696630546282e-06,6.068578541971577e-05,0.0033254958449733772,0.0,9.87946236719455e-06,0.00016021768240264593,1.04856648673375e-06,1.9332944599153513e-06,2.8671739871625973e-06,0.007301823801181309,0.0,2.801638581741738e-06,5.22153342690697e-05,0.02082459596193769,0.0,1.228788851641113e-06,0.0005544295298604702,3.381626919716343e-05,0.00030631248493709665,1.6252780544373123e-05,6.871387258377104e-05,1.2779404057067575e-06,0.017755179713646322,2.965477095293886e-06,1.4909304733245505e-06,0.31961681120773394,0.000810115914109953,0.0,0.0004088426267180311,0.0001799602232856798,0.0,0.0039662191199217635,2.244587635664433e-06,0.0002388110173536115,7.1597430422288856e-06,7.017203535438517e-05,1.949678311270566e-06,0.00023171680971680348,0.0005797589640556324,0.0027989680139708377,0.00011791457820348121
JS72_11,0.005508263535606193,0.5506804301625184,2.257622720799922e-05,0.00016544113877247979,0.0,1.1898042999987059e-05,0.020290600772322656,0.007942058616725388,2.229336140116446e-05,0.00011530317451101872,2.2629264546780736e-06,9.95334057799809e-06,0.00023451343297894254,1.5027245988096581e-06,2.6005975115870675e-05,1.3082543566107612e-06,7.089324283796153e-06,1.290575243683589e-06,9.652795658236157e-06,2.3141958821668737e-05,3.130970899402241e-05,0.00015315415528809493,0.0007318799169590851,0.033785156065198024,1.9871322930141835e-05,2.704904277857385e-06,0.0,0.0,0.001594655986030955,1.5575298488838927e-05,0.001903032752819624,2.086135325406349e-06,1.378970808319451e-06,2.192210002969384e-06,9.493683641891605e-06,7.195398961359187e-06,3.694934601779042e-06,6.092222314703626e-05,0.0033022638245536148,0.0,9.369929851401399e-06,0.00016160477126728336,1.7148739539357276e-06,1.962381534916142e-06,2.9170536329834543e-06,0.007473084788106285,6.718062912325531e-07,3.1999194398182135e-06,5.528258612326825e-05,0.02091150889743788,0.0,1.1137841144118643e-06,0.0005898636028151087,3.297154560917662e-05,0.0003134329930858404,1.5628335827620446e-05,6.908997331938993e-05,1.5027245988096581e-06,0.017717706430692468,2.828658068347592e-06,1.2021796790477267e-06,0.31685528040805655,0.0008098624840808427,0.0,0.00039109733617490895,0.00018052142209935788,0.0,0.0036868729262842515,2.050777099552004e-06,0.00023886249475902697,8.22078751113519e-06,7.375725913216346e-05,2.2982846805324186e-06,0.00023587472467433482,0.0005422537517022334,0.0027845133233684424,0.00011972295274281183
JS73_12,0.005416862706140612,0.5460660660121367,2.21718076452019e-05,0.00016167806462774563,0.0,1.2881751170810448e-05,0.019148446831202315,0.008007407041458742,2.241355632669164e-05,0.00011401903884833967,2.193005896371216e-06,9.721750548480271e-06,0.000246203764334337,1.2432789333758075e-06,2.7058584563887365e-05,1.3468855111571246e-06,7.269728207655763e-06,7.943170963234325e-07,1.0706013037402786e-05,2.481377537862549e-05,3.6055089067898415e-05,0.0001534413416941309,0.0007351404726473368,0.037767982082831004,2.085945765997188e-05,2.296612474152533e-06,6.561749926150094e-07,0.0,0.0016035190043214476,1.5109292593108771e-05,0.0018990394996796917,2.175738133407663e-06,8.63388148177644e-07,1.726776296355288e-06,9.842624889225143e-06,7.027979526166023e-06,3.5398914075283407e-06,5.9919137483528495e-05,0.003331331366454549,0.0,9.29005647439145e-06,0.0001641128192056066,1.2260111704122546e-06,2.331148000079639e-06,2.4002190519338505e-06,0.007412498071838418,7.597815703963268e-07,3.2118039112208357e-06,5.713902764639648e-05,0.020896531547054627,0.0,1.4850276148655478e-06,0.0006548453748668159,3.315410489002153e-05,0.0003146531767218606,1.523016693385364e-05,6.914012290606573e-05,1.3986888000477833e-06,0.01760073723677907,2.9527874667675427e-06,1.2778144593029133e-06,0.3185406854656082,0.000805074912649726,0.0,0.0004087797526361873,0.00018101795914692484,0.0,0.0038416282975534638,1.744044059318841e-06,0.00024350999331202274,7.649618992853926e-06,7.212744589876039e-05,2.452022340824509e-06,0.00023466889867468366,0.0005619275423599378,0.002781767542376515,0.00011876767366331671
JSP1_4,0.0054969993151751,0.5567001745991852,2.1736014003049537e-05,0.00015785824063119418,0.0,1.3747414349263156e-05,0.021171562376083433,0.007845366695598273,2.2508537925613496e-05,0.00011644042396464017,1.7206214638924514e-06,9.709221117678832e-06,0.00023793736814969898,1.8259656351511729e-06,2.5229929016463803e-05,8.778680938226792e-07,5.951945676117765e-06,9.832122650814008e-07,1.0622203935254418e-05,2.350930755257135e-05,3.195439861514552e-05,0.0001525559173445052,0.0007361801834796988,0.03429892093331775,2.3263504486301e-05,3.002308880873563e-06,6.496223894287827e-07,0.0,0.0015973687835197472,1.5064216489997175e-05,0.001902498175570634,1.8435229970276265e-06,1.0885564363401223e-06,1.8435229970276265e-06,9.937466822072729e-06,6.320650275523291e-06,3.809947527190428e-06,6.336451901212099e-05,0.0033143558735037725,0.0,9.709221117678832e-06,0.00016256361361408373,1.6328346545101834e-06,2.1419981489273372e-06,3.248111947143913e-06,0.0074968003902650395,8.603107319462257e-07,3.300784032773274e-06,5.627134481403374e-05,0.020946354095294162,0.0,1.4923757594985546e-06,0.0006805935757788468,3.242844738580977e-05,0.0003080087993986252,1.5994756669449215e-05,7.272259289227075e-05,8.954254556991328e-07,0.01769511693773624,2.967194157120656e-06,1.3694742263633795e-06,0.3094700810702406,0.0008186822269371542,0.0,0.0004221316515955735,0.00017982250033863763,0.0,0.0036292822734817205,1.7732935495218121e-06,0.00024041295617427893,7.98859965378638e-06,7.505772202183907e-05,1.650392016386637e-06,0.00023493505926882542,0.0005534607184314464,0.002717528471237486,0.00012393741748588586
