sample	coverage	taxonomy
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	3.79	Root; d__Archaea
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	23.03	Root; d__Bacteria
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	1.5	Root; d__Archaea; p__Thermoproteota
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.42	Root; d__Archaea; p__Halobacteriota
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	1.75	Root; d__Bacteria; p__Planctomycetota
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	5.12	Root; d__Bacteria; p__Actinomycetota
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	1.95	Root; d__Bacteria; p__Acidobacteriota
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.74	Root; d__Bacteria; p__Myxococcota_A
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	1.79	Root; d__Bacteria; p__Chloroflexota
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.28	Root; d__Bacteria; p__Bacteroidota
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.69	Root; d__Bacteria; p__Cyanobacteriota
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.11	Root; d__Bacteria; p__Verrucomicrobiota
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	2.03	Root; d__Bacteria; p__Patescibacteriota
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	2.77	Root; d__Bacteria; p__Armatimonadota
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.98	Root; d__Bacteria; p__Bacillota
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	1.53	Root; d__Bacteria; p__Bdellovibrionota
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.68	Root; d__Bacteria; p__Desulfobacterota
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	1.75	Root; d__Bacteria; p__Myxococcota
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.11	Root; d__Bacteria; p__Fibrobacterota
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.06	Root; d__Bacteria; p__Elusimicrobiota
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.05	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.42	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia
