sample	coverage	taxonomy
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	3.2	Root; d__Archaea
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	22.76	Root; d__Bacteria
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	2.06	Root; d__Archaea; p__Thermoproteota
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.48	Root; d__Archaea; p__Thermoplasmatota
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	1.81	Root; d__Bacteria; p__Pseudomonadota
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	3.9	Root; d__Bacteria; p__Actinomycetota
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.8	Root; d__Bacteria; p__Acidobacteriota
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	1.05	Root; d__Bacteria; p__Myxococcota_A
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.4	Root; d__Bacteria; p__Bacteroidota
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	1.8	Root; d__Bacteria; p__Planctomycetota
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.06	Root; d__Bacteria; p__Gemmatimonadota
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	1.89	Root; d__Bacteria; p__Chloroflexota
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.62	Root; d__Bacteria; p__Bacillota
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	2.15	Root; d__Bacteria; p__Patescibacteriota
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.09	Root; d__Bacteria; p__Verrucomicrobiota
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	1.08	Root; d__Bacteria; p__Desulfobacterota
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.9	Root; d__Bacteria; p__Myxococcota
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	1.92	Root; d__Bacteria; p__Bdellovibrionota
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	2.66	Root; d__Bacteria; p__Armatimonadota
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.34	Root; d__Bacteria; p__Babelota
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.06	Root; d__Bacteria; p__Cyanobacteriota
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.06	Root; d__Bacteria; p__Omnitrophota
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.32	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.31	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	10.92	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	4.58	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	7.98	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	16.78	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	1.46	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.11	Root; d__Bacteria; p__Actinomycetota; c__CADDZG01
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	1.33	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.34	Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	1.02	Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	2.66	Root; d__Bacteria; p__Myxococcota_A; c__Polyangia
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.06	Root; d__Bacteria; p__Myxococcota_A; c__UBA796
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	3.69	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.91	Root; d__Bacteria; p__Bacteroidota; c__Ignavibacteria
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	1.67	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	1.36	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.31	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	1.1	Root; d__Bacteria; p__Chloroflexota; c__Chloroflexia
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.73	Root; d__Bacteria; p__Chloroflexota; c__Limnocylindria
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	1.75	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	1.32	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.12	Root; d__Bacteria; p__Chloroflexota; c__UBA6077
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.11	Root; d__Bacteria; p__Chloroflexota; c__Dormibacteria
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.28	Root; d__Bacteria; p__Chloroflexota; c__UBA11872
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.91	Root; d__Bacteria; p__Bacillota; c__Bacilli
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	2.04	Root; d__Bacteria; p__Bacillota; c__Clostridia
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.85	Root; d__Bacteria; p__Patescibacteriota; c__Minisyncoccia
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.17	Root; d__Bacteria; p__Patescibacteriota; c__Saccharimonadia
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	1.36	Root; d__Bacteria; p__Patescibacteriota; c__Microgenomatia
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.4	Root; d__Bacteria; p__Patescibacteriota; c__UBA1384
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.28	Root; d__Bacteria; p__Patescibacteriota; c__Gracilibacteria
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	2.16	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	1.77	Root; d__Bacteria; p__Desulfobacterota; c__Binatia
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.06	Root; d__Bacteria; p__Myxococcota; c__Myxococcia
