sample	coverage	taxonomy
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	3.09	Root; d__Archaea
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	26.83	Root; d__Bacteria
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	1.05	Root; d__Archaea; p__Thermoproteota
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.73	Root; d__Bacteria; p__Bacteroidota
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	1.76	Root; d__Bacteria; p__Planctomycetota
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	2.51	Root; d__Bacteria; p__Actinomycetota
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	1.9	Root; d__Bacteria; p__Acidobacteriota
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	1.52	Root; d__Bacteria; p__Chloroflexota
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	1.02	Root; d__Bacteria; p__Desulfobacterota
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	1.25	Root; d__Bacteria; p__Myxococcota_A
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.68	Root; d__Bacteria; p__Bacillota
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.06	Root; d__Bacteria; p__Verrucomicrobiota
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.87	Root; d__Bacteria; p__Myxococcota
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	2.56	Root; d__Bacteria; p__Patescibacteriota
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	1.19	Root; d__Bacteria; p__Bdellovibrionota
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.06	Root; d__Bacteria; p__Elusimicrobiota
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.25	Root; d__Bacteria; p__Cyanobacteriota
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.11	Root; d__Bacteria; p__Nitrospirota
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	1.86	Root; d__Bacteria; p__Armatimonadota
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.06	Root; d__Bacteria; p__Fibrobacterota
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.2	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.42	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	2.93	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.28	Root; d__Bacteria; p__Bacteroidota; c__Ignavibacteria
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	1.32	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	1.0	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.06	Root; d__Bacteria; p__Planctomycetota; c__MHYJ01
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.45	Root; d__Bacteria; p__Planctomycetota; c__J058
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	12.79	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	5.44	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	8.94	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.82	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	22.83	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.23	Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	1.1	Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	1.08	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.34	Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	1.19	Root; d__Bacteria; p__Chloroflexota; c__Chloroflexia
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.58	Root; d__Bacteria; p__Chloroflexota; c__Limnocylindria
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.23	Root; d__Bacteria; p__Chloroflexota; c__UBA6077
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	1.47	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	1.56	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.06	Root; d__Bacteria; p__Chloroflexota; c__UBA11872
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.06	Root; d__Bacteria; p__Chloroflexota; c__Dormibacteria
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	1.87	Root; d__Bacteria; p__Desulfobacterota; c__Binatia
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	2.05	Root; d__Bacteria; p__Myxococcota_A; c__Polyangia
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.06	Root; d__Bacteria; p__Myxococcota_A; c__UBA796
