sample	coverage	taxonomy
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	2.29	Root; d__Archaea
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	20.64	Root; d__Bacteria
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	3.03	Root; d__Archaea; p__Thermoproteota
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.85	Root; d__Archaea; p__Thermoplasmatota
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	1.19	Root; d__Bacteria; p__Desulfobacterota
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	2.37	Root; d__Bacteria; p__Acidobacteriota
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	1.11	Root; d__Bacteria; p__Pseudomonadota
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	6.68	Root; d__Bacteria; p__Actinomycetota
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	1.98	Root; d__Bacteria; p__Planctomycetota
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	2.57	Root; d__Bacteria; p__Armatimonadota
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	2.7	Root; d__Bacteria; p__Patescibacteriota
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	4.6	Root; d__Bacteria; p__Chloroflexota
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.51	Root; d__Bacteria; p__Verrucomicrobiota
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.4	Root; d__Bacteria; p__Cyanobacteriota
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.4	Root; d__Bacteria; p__Bacteroidota
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	1.36	Root; d__Bacteria; p__Bdellovibrionota
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	1.27	Root; d__Bacteria; p__Myxococcota
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.06	Root; d__Bacteria; p__Babelota
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	2.66	Root; d__Bacteria; p__Bacillota
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	1.36	Root; d__Bacteria; p__Myxococcota_A
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.34	Root; d__Bacteria; p__Omnitrophota
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.28	Root; d__Bacteria; p__Elusimicrobiota
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.05	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.26	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.37	Root; d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	2.09	Root; d__Bacteria; p__Desulfobacterota; c__Binatia
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.28	Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.89	Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	1.94	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	1.31	Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	16.32	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	4.45	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	18.89	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	6.17	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.78	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.4	Root; d__Bacteria; p__Actinomycetota; c__CADDZG01
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.52	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	1.68	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	1.25	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.11	Root; d__Bacteria; p__Planctomycetota; c__MHYJ01
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.06	Root; d__Bacteria; p__Planctomycetota; c__SZUA-567
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.17	Root; d__Bacteria; p__Planctomycetota; c__J058
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.11	Root; d__Bacteria; p__Armatimonadota; c__SYMT01
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.51	Root; d__Bacteria; p__Armatimonadota; c__UBA5829
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.7	Root; d__Bacteria; p__Patescibacteriota; c__Minisyncoccia
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.28	Root; d__Bacteria; p__Patescibacteriota; c__Saccharimonadia
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	1.19	Root; d__Bacteria; p__Patescibacteriota; c__Microgenomatia
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.4	Root; d__Bacteria; p__Patescibacteriota; c__Gracilibacteria
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.45	Root; d__Bacteria; p__Chloroflexota; c__Limnocylindria
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	1.25	Root; d__Bacteria; p__Chloroflexota; c__Chloroflexia
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	1.3	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.8	Root; d__Bacteria; p__Chloroflexota; c__UBA6077
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	2.16	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.39	Root; d__Bacteria; p__Chloroflexota; c__Dormibacteria
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.06	Root; d__Bacteria; p__Chloroflexota; c__UBA11872
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.17	Root; d__Bacteria; p__Chloroflexota; c__UBA5177
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	1.15	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.11	Root; d__Bacteria; p__Nitrospirota; c__Nitrospiria
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.11	Root; d__Bacteria; p__Cyanobacteriota; c__Vampirovibrionia
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	3.01	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.51	Root; d__Bacteria; p__Bacteroidota; c__Ignavibacteria
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.17	Root; d__Bacteria; p__Bdellovibrionota; c__Bdellovibrionia
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.28	Root; d__Bacteria; p__Bdellovibrionota; c__UBA1018
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	1.59	Root; d__Bacteria; p__Bacillota; c__Bacilli
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	2.95	Root; d__Bacteria; p__Bacillota; c__Clostridia
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.28	Root; d__Bacteria; p__Bacillota; c__Negativicutes
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	2.09	Root; d__Bacteria; p__Myxococcota_A; c__Polyangia
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.11	Root; d__Bacteria; p__Myxococcota_A; c__UBA796
