sample	coverage	taxonomy
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	2.79	Root; d__Archaea
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	21.44	Root; d__Bacteria
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	2.07	Root; d__Archaea; p__Thermoproteota
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	1.05	Root; d__Archaea; p__Thermoplasmatota
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	4.17	Root; d__Bacteria; p__Actinomycetota
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	2.91	Root; d__Bacteria; p__Acidobacteriota
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	3.23	Root; d__Bacteria; p__Patescibacteriota
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.75	Root; d__Bacteria; p__Pseudomonadota
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.17	Root; d__Bacteria; p__Bacteroidota
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	2.29	Root; d__Bacteria; p__Planctomycetota
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.23	Root; d__Bacteria; p__Verrucomicrobiota
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	1.08	Root; d__Bacteria; p__Myxococcota_A
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	2.65	Root; d__Bacteria; p__Chloroflexota
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.06	Root; d__Bacteria; p__Nitrospirota
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	1.98	Root; d__Bacteria; p__Desulfobacterota
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	2.37	Root; d__Bacteria; p__Bacillota
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	1.77	Root; d__Bacteria; p__Armatimonadota
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.84	Root; d__Bacteria; p__Myxococcota
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.45	Root; d__Bacteria; p__Cyanobacteriota
