sample	coverage	taxonomy
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	3.87	Root; d__Archaea
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	29.0	Root; d__Bacteria
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	2.42	Root; d__Archaea; p__Thermoproteota
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.7	Root; d__Archaea; p__Thermoplasmatota
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	1.96	Root; d__Bacteria; p__Pseudomonadota
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	1.74	Root; d__Bacteria; p__Planctomycetota
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	4.09	Root; d__Bacteria; p__Chloroflexota
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	4.11	Root; d__Bacteria; p__Acidobacteriota
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	2.51	Root; d__Bacteria; p__Patescibacteriota
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	1.49	Root; d__Bacteria; p__Myxococcota_A
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.73	Root; d__Bacteria; p__Bacteroidota
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.11	Root; d__Bacteria; p__Elusimicrobiota
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.11	Root; d__Bacteria; p__Verrucomicrobiota
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	2.15	Root; d__Bacteria; p__Armatimonadota
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.96	Root; d__Bacteria; p__Bacillota
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.06	Root; d__Bacteria; p__Nitrospirota
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	1.3	Root; d__Bacteria; p__Myxococcota
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	1.42	Root; d__Bacteria; p__Desulfobacterota
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.57	Root; d__Bacteria; p__Cyanobacteriota
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.51	Root; d__Bacteria; p__Omnitrophota
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	1.3	Root; d__Bacteria; p__Bdellovibrionota
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.52	Root; d__Bacteria; p__Vulcanimicrobiota
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.06	Root; d__Bacteria; p__Fibrobacterota
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.05	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.26	Root; d__Archaea; p__Thermoplasmatota; c__E2
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.26	Root; d__Archaea; p__Thermoplasmatota; c__SW-10-69-26
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.42	Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.27	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	18.25	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	11.25	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	2.7	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.51	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	17.06	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	6.55	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.38	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	1.6	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.17	Root; d__Bacteria; p__Planctomycetota; c__J058
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.74	Root; d__Bacteria; p__Chloroflexota; c__Limnocylindria
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.85	Root; d__Bacteria; p__Chloroflexota; c__Chloroflexia
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	2.49	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.23	Root; d__Bacteria; p__Chloroflexota; c__Dormibacteria
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	2.17	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.39	Root; d__Bacteria; p__Chloroflexota; c__UBA6077
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.34	Root; d__Bacteria; p__Chloroflexota; c__UBA5177
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.56	Root; d__Bacteria; p__Chloroflexota; c__UBA11872
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.9	Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	2.55	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.91	Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.95	Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia
