genome	cog_category	description	n_genes	syn_G	syn_C	syn_A	syn_T	syn_GC_skew	syn_AT_skew
bin.JR.1	K	Transcription	8	281	271	100	147	0.018116	-0.190283
bin.JR.1	O	Post-translational modification and chaperones	7	562	507	240	290	0.051450	-0.094340
bin.JR.1	C	Energy production and conversion	10	441	462	186	211	-0.023256	-0.062972
bin.JR.1	T	Signal transduction	2	134	107	54	67	0.112033	-0.107438
bin.JR.1	I	Lipid transport and metabolism	3	156	137	51	93	0.064846	-0.291667
bin.JR.1	G	Carbohydrate transport and metabolism	6	371	445	183	209	-0.090686	-0.066327
bin.JR.1	U	Intracellular trafficking and secretion	2	131	114	63	78	0.069388	-0.106383
bin.JR.1	E	Amino acid transport and metabolism	4	248	272	120	161	-0.046154	-0.145907
bin.JR.1	P	Inorganic ion transport and metabolism	4	85	83	38	45	0.011905	-0.084337
bin.JR.1	F	Nucleotide transport and metabolism	3	221	175	72	101	0.116162	-0.167630
bin.JR.1	V	Defense mechanisms	3	131	173	72	95	-0.138158	-0.137725
bin.JR.1	J	Translation, ribosomal structure and biogenesis	20	634	657	312	402	-0.017816	-0.126050
bin.JR.1	B	Chromatin structure and dynamics	1	4	6	7	6	-0.200000	0.076923
bin.JR.1	D	Cell cycle control and mitosis	2	118	122	55	62	-0.016667	-0.059829
bin.JR.1	Z	Cytoskeleton	1	65	72	23	29	-0.051095	-0.115385
bin.JR.1	H	Coenzyme transport and metabolism	3	160	175	80	108	-0.044776	-0.148936
bin.JR.1	M	Cell wall/membrane biogenesis	1	60	51	27	23	0.081081	0.080000
bin.JR.1	N	Cell motility	1	41	59	22	20	-0.180000	0.047619
bin.JR.11	E	Amino acid transport and metabolism	18	1927	2512	26	106	-0.131786	-0.606061
bin.JR.11	I	Lipid transport and metabolism	8	472	651	9	46	-0.159394	-0.672727
bin.JR.11	H	Coenzyme transport and metabolism	3	246	274	6	24	-0.053846	-0.600000
bin.JR.11	G	Carbohydrate transport and metabolism	4	218	396	5	21	-0.289902	-0.615385
bin.JR.11	T	Signal transduction	5	299	349	10	24	-0.077160	-0.411765
bin.JR.11	M	Cell wall/membrane biogenesis	4	375	493	6	25	-0.135945	-0.612903
