user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
JRP__binette_bin3	d__Bacteria;p__Chloroflexota;c__Dormibacteria;o__Dormibacterales;f__Dormibacteraceae;g__DATAXV01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Dormibacteria;o__Dormibacterales;f__Dormibacteraceae;g__DATAXV01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	71.92	11	0.91115	N/A
JRP__binette_bin4	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_A;f__Planococcaceae;g__Sporosarcina;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_A;f__Planococcaceae;g__Sporosarcina;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	77.36	11	0.93386	N/A
JR__binette_bin1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Cellvibrionaceae;g__Cellvibrio;s__Cellvibrio sp004173475	GCA_004173475.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Cellvibrionaceae;g__Cellvibrio;s__Cellvibrio sp004173475	97.25	0.875	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
JR__binette_bin10	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter calcoaceticus_C	GCF_900520355.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter calcoaceticus_C	97.65	0.873	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_000368065.1, s__Acinetobacter seifertii, 95.0, 89.83, 0.43; GCF_000369045.1, s__Acinetobacter pittii, 95.0, 91.22, 0.599; GCF_031277915.1, s__Acinetobacter sp031277915, 95.0, 89.88, 0.393; GCF_000368965.1, s__Acinetobacter calcoaceticus, 95.0, 94.4, 0.768; GCF_000313935.1, s__Acinetobacter sp000313935, 95.0, 93.51, 0.695; GCF_034067285.1, s__Acinetobacter pittii_E, 95.0, 91.17, 0.592; GCF_001605885.1, s__Acinetobacter lactucae, 95.0, 91.25, 0.592; GCF_009759685.1, s__Acinetobacter baumannii, 95.0, 89.73, 0.401; GCF_041021895.1, s__Acinetobacter sp041021895, 95.0, 89.96, 0.419; GCF_016508255.1, s__Acinetobacter calcoaceticus_E, 95.0, 92.91, 0.654; GCF_000196795.1, s__Acinetobacter oleivorans, 95.0, 93.12, 0.678; GCF_022449185.1, s__Acinetobacter pittii_I, 95.23, 91.14, 0.591; GCF_023920705.1, s__Acinetobacter sp023920705, 95.0, 93.5, 0.701; GCF_000399665.1, s__Acinetobacter calcoaceticus_B, 95.0, 93.54, 0.718; GCF_013009345.1, s__Acinetobacter geminorum, 95.0, 91.19, 0.554; GCF_003410005.1, s__Acinetobacter sp003410005, 95.0, 92.91, 0.677; GCA_025736915.1, s__Acinetobacter nosocomialis_A, 95.0, 89.31, 0.436; GCF_013344765.1, s__Acinetobacter lactucae_A, 95.0, 91.38, 0.549; GCF_034064985.1, s__Acinetobacter pittii_H, 95.0, 91.29, 0.59; GCF_037027805.1, s__Acinetobacter sp037027805, 95.0, 93.41, 0.683; GCF_000368085.1, s__Acinetobacter nosocomialis, 95.0, 89.78, 0.428	N/A	N/A	N/A	N/A
JR__binette_bin14	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Microvirga;s__Microvirga tunisiensis	GCF_009296175.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Microvirga;s__Microvirga tunisiensis	98.66	0.769	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_034627025.1, s__Microvirga lotononidis, 95.0, 87.89, 0.209; GCF_013307435.2, s__Microvirga terrae, 95.0, 87.47, 0.214; GCF_018383585.1, s__Microvirga sp018383585, 95.0, 90.6, 0.44; GCF_024519725.1, s__Microvirga sp024519725, 95.0, 87.8, 0.184; GCA_035944695.1, s__Microvirga sp035944695, 95.0, 88.59, 0.258; GCA_023386155.1, s__Microvirga sp023386155, 95.0, 88.83, 0.228; GCF_013520865.1, s__Microvirga mediterraneensis, 95.0, 88.03, 0.2; GCF_003347665.1, s__Microvirga calopogonii, 95.0, 88.09, 0.212; GCF_002741015.1, s__Microvirga ossetica, 95.0, 87.81, 0.189; GCF_016864375.1, s__Microvirga sp016864375, 95.0, 88.48, 0.257; GCF_025460805.1, s__Microvirga sesbaniae, 95.0, 87.73, 0.203; GCA_000517005.1, s__Microvirga lupini, 95.0, 89.19, 0.317; GCF_036314085.1, s__Microvirga sp036314085, 95.0, 88.85, 0.258	N/A	N/A	N/A	N/A
JR__binette_bin16	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_035716065.1, s__Gaiella sp035716065, 95.0, 91.78, 0.484; GCA_035698965.1, s__Gaiella sp035698965, 95.0, 91.52, 0.477; GCA_036376855.1, s__Gaiella sp036376855, 95.0, 88.38, 0.306	58.92	11	0.99267	N/A
JR__binette_bin17	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Stutzerimonas;s__Stutzerimonas xanthomarina_A	GCA_032075095.1	97.09	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Stutzerimonas;s__Stutzerimonas xanthomarina_A	97.41	0.787	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_900114065.1, s__Stutzerimonas kunmingensis, 97.09, 97.36, 0.77; GCF_000219605.1, s__Stutzerimonas stutzeri, 95.0, 89.02, 0.357; GCA_007713455.1, s__Stutzerimonas sp007713455, 97.08, 97.27, 0.777; GCF_002909485.1, s__Stutzerimonas stutzeri_AH, 95.0, 89.65, 0.391; GCF_032106285.1, s__Stutzerimonas kunmingensis_B, 97.08, 97.16, 0.768; GCF_015070855.1, s__Stutzerimonas lopnurensis, 95.0, 87.32, 0.178; GCF_002929225.1, s__Stutzerimonas sp003488145, 97.09, 97.14, 0.775; GCF_000327065.1, s__Stutzerimonas stutzeri_AE, 95.0, 89.96, 0.46; GCA_032105665.1, s__Stutzerimonas sp032105665, 96.13, 96.26, 0.677; GCF_000307775.2, s__Stutzerimonas stutzeri_B, 95.0, 89.02, 0.306; GCF_038561965.1, s__Stutzerimonas stutzeri_AA, 95.0, 89.21, 0.379; GCF_003696315.1, s__Stutzerimonas songnenensis, 95.0, 89.67, 0.451; GCA_030263805.2, s__Stutzerimonas stutzeri_G, 95.0, 93.51, 0.668; GCF_000661915.1, s__Stutzerimonas decontaminans, 95.0, 90.51, 0.487; GCA_032074585.1, s__Stutzerimonas sp032074585, 97.07, 97.22, 0.748; GCF_015291885.1, s__Stutzerimonas stutzeri_AC, 95.0, 89.87, 0.412; GCA_003530955.1, s__Stutzerimonas sp003530955, 95.0, 97.12, 0.701; GCF_024448335.1, s__Stutzerimonas frequens, 95.0, 89.5, 0.423; GCF_014764705.1, s__Stutzerimonas sp002692525, 96.93, 97.15, 0.766; GCF_002890915.1, s__Stutzerimonas stutzeri_AF, 95.0, 87.53, 0.208; GCA_018823765.1, s__Stutzerimonas sp018823765, 97.02, 97.38, 0.763; GCF_000495915.1, s__Stutzerimonas chloritidismutans, 97.08, 97.31, 0.751; GCF_025966695.1, s__Stutzerimonas sp025966695, 95.0, 87.59, 0.165	N/A	N/A	N/A	N/A
JR__binette_bin2	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_B;f__DSM-1321;g__Peribacillus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_B;f__DSM-1321;g__Peribacillus;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	93.45	11	0.96693	N/A
JR__binette_bin21	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__JACDCH01;g__ZC4RG19;s__	N/A	N/A	N/A	N/A	N/A	GCA_036280455.1	95.0	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__JACDCH01;g__ZC4RG19;s__ZC4RG19 sp036280455	88.47	0.276	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__JACDCH01;g__ZC4RG19;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	59.59	11	0.9884	Genome has more than 15.0% of markers with multiple hits
JR__binette_bin22	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides_C;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides_C;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	58.24	11	0.94582	N/A
