user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
bin.JR.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosospira;s__	N/A	N/A	N/A	N/A	N/A	GCF_900113575.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosospira;s__Nitrosospira sp900113575	89.92	0.534	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosospira;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	77.1	11	0.98486	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
bin.JR.11	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae;g__Azospirillum;s__	N/A	N/A	N/A	N/A	N/A	GCF_003989665.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae;g__Azospirillum;s__Azospirillum doebereinerae	94.56	0.72	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae;g__Azospirillum;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_017876095.1, s__Azospirillum agricola, 95.0, 89.65, 0.381; GCF_003116095.1, s__Azospirillum sp003116095, 95.0, 86.58, 0.16	63.3	11	0.9952	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
bin.JR.12	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__JACDCH01;g__ZC4RG19;s__	N/A	N/A	N/A	N/A	N/A	GCA_036280455.1	95.0	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__JACDCH01;g__ZC4RG19;s__ZC4RG19 sp036280455	88.24	0.248	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__JACDCH01;g__ZC4RG19;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	52.66	11	0.98401	N/A
bin.JR.2	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_B;f__DSM-1321;g__Peribacillus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_B;f__DSM-1321;g__Peribacillus;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	69.88	11	0.96719	N/A
bin.JR.3	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E capeferrum	GCF_000731675.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E capeferrum	97.32	0.903	GCF_000731675.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E capeferrum	97.32	0.903	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_025905425.1, s__Pseudomonas_E putida_AF, 95.0, 91.25, 0.661; GCF_014269205.2, s__Pseudomonas_E kermanshahensis, 95.0, 90.99, 0.622; GCF_021602585.1, s__Pseudomonas_E faucium, 95.0, 88.61, 0.426; GCF_000730605.1, s__Pseudomonas_E monteilii, 95.0, 88.41, 0.426; GCF_039673335.1, s__Pseudomonas_E sp039673335, 95.0, 88.4, 0.404; GCF_022533585.1, s__Pseudomonas_E sp001642705, 95.0, 88.37, 0.407; GCF_040214835.1, s__Pseudomonas_E putida_Z, 96.09, 88.36, 0.39; GCF_003097235.1, s__Pseudomonas_E sp003097235, 95.0, 88.32, 0.385; GCF_000708715.2, s__Pseudomonas_E putida_R, 95.0, 88.29, 0.408; GCF_030159595.1, s__Pseudomonas_E putida_AC, 95.0, 88.27, 0.416; GCF_039672635.1, s__Pseudomonas_E sp039672635, 95.0, 88.27, 0.395; GCF_900291015.1, s__Pseudomonas_E sp900291015, 95.0, 88.24, 0.38; GCF_002112505.1, s__Pseudomonas_E sp002112505, 95.0, 88.21, 0.393; GCF_000412675.1, s__Pseudomonas_E putida, 95.0, 88.2, 0.395; GCF_009391885.1, s__Pseudomonas_E sp009391885, 95.0, 88.19, 0.411; GCF_015680405.1, s__Pseudomonas_E pudica, 95.0, 88.17, 0.381; GCF_000935045.1, s__Pseudomonas_E sp000935045, 95.0, 88.15, 0.373; GCF_003331055.1, s__Pseudomonas_E sp003331055, 95.0, 88.14, 0.369; GCF_017744435.1, s__Pseudomonas_E sp017744435, 95.0, 88.13, 0.378; GCA_947090765.1, s__Pseudomonas_E sp947090765, 95.0, 88.11, 0.381; GCF_009932335.1, s__Pseudomonas_E asiatica, 95.0, 88.09, 0.374; GCA_029953615.1, s__Pseudomonas_E sp002113165, 95.0, 88.08, 0.378; GCF_000730665.1, s__Pseudomonas_E plecoglossicida, 95.0, 88.05, 0.37; GCF_900277125.1, s__Pseudomonas_E inefficax, 95.0, 88.05, 0.366; GCA_041071465.1, s__Pseudomonas_E putida_P, 95.0, 88.04, 0.427; GCF_002165135.1, s__Pseudomonas_E sp002165135, 95.0, 88.04, 0.37; GCF_009883635.2, s__Pseudomonas_E putida_W, 95.0, 88.03, 0.395; GCF_016658545.1, s__Pseudomonas_E sp016658545, 95.0, 88.03, 0.368; GCF_000498395.2, s__Pseudomonas_E putida_Q, 95.0, 88.0, 0.383; GCF_013179515.1, s__Pseudomonas_E sp013179515, 95.0, 87.99, 0.351; GCF_916618955.1, s__Pseudomonas_E sp916618955, 95.0, 87.94, 0.388; GCF_024349685.1, s__Pseudomonas_E sp024349685, 95.0, 87.94, 0.359; GCF_014269185.2, s__Pseudomonas_E oryzicola, 95.0, 87.93, 0.371; GCF_002906855.1, s__Pseudomonas_E putida_N, 95.0, 87.89, 0.39; GCF_021283545.2, s__Pseudomonas_E alloputida, 95.44, 87.8, 0.373; GCF_002025705.1, s__Pseudomonas_E putida_J, 95.0, 87.8, 0.35; GCF_011752565.1, s__Pseudomonas_E sp011752565, 95.0, 87.78, 0.353; GCF_026898135.2, s__Pseudomonas_E fortuita, 95.0, 87.77, 0.379; GCF_000282535.1, s__Pseudomonas_E sp000282535, 95.0, 87.75, 0.353; GCF_014269225.2, s__Pseudomonas_E anuradhapurensis, 95.0, 87.75, 0.345; GCA_029202525.1, s__Pseudomonas_E phytovorans, 95.0, 87.72, 0.384; GCF_033095865.1, s__Pseudomonas_E sp033095865, 95.0, 87.69, 0.345; GCF_021602025.1, s__Pseudomonas_E ceruminis, 95.0, 87.67, 0.38; GCF_014269035.2, s__Pseudomonas_E vlassakiae, 95.0, 87.65, 0.36; GCF_003627215.1, s__Pseudomonas_E sp001422615, 95.0, 87.64, 0.382; GCF_002386445.1, s__Pseudomonas_E sp002386445, 95.0, 87.58, 0.366; GCF_016406145.1, s__Pseudomonas_E putida_E, 95.0, 87.58, 0.35; GCF_001320245.1, s__Pseudomonas_E sp001320245, 95.0, 87.57, 0.366; GCA_041879295.1, s__Pseudomonas_E putida_Y, 95.0, 87.55, 0.342; GCF_003205205.1, s__Pseudomonas_E sp003205205, 95.0, 87.34, 0.356; GCF_026625125.1, s__Pseudomonas_E putida_X, 95.0, 87.34, 0.339; GCF_028898945.1, s__Pseudomonas_E sp028898945, 95.0, 87.34, 0.303; GCF_016648105.1, s__Pseudomonas_E sp016648105, 95.0, 87.33, 0.313; GCF_003231305.1, s__Pseudomonas_E sichuanensis, 95.0, 87.32, 0.294; GCF_014268935.2, s__Pseudomonas_E peradeniyensis, 95.0, 87.3, 0.298; GCF_029193575.1, s__Pseudomonas_E entomophila_G, 95.0, 87.28, 0.303; GCF_034387475.1, s__Pseudomonas_E sp034387475, 95.0, 87.27, 0.304; GCF_021601385.1, s__Pseudomonas_E parasichuanensis, 95.0, 87.26, 0.288; GCF_019139535.1, s__Pseudomonas_E muyukensis, 95.0, 87.24, 0.294; GCF_005080685.1, s__Pseudomonas_E putida_V, 95.0, 87.17, 0.299; GCF_015354575.1, s__Pseudomonas_E sp015354575, 95.0, 87.14, 0.274; GCF_023277925.1, s__Pseudomonas_E entomophila_D, 95.0, 87.02, 0.259; GCF_018417595.1, s__Pseudomonas_E entomophila_C, 95.0, 86.98, 0.277; GCF_019823065.1, s__Pseudomonas_E mosselii, 95.0, 86.97, 0.293; GCF_900110655.1, s__Pseudomonas_E soli, 95.0, 86.96, 0.277; GCF_019139675.1, s__Pseudomonas_E maumuensis, 95.0, 86.95, 0.296; GCF_024127895.1, s__Pseudomonas_E guariconensis_B, 95.0, 86.95, 0.289; GCF_009932375.1, s__Pseudomonas_E juntendi, 95.0, 86.94, 0.28; GCF_011752525.1, s__Pseudomonas_E sp011752525, 95.0, 86.91, 0.262; GCF_022405695.1, s__Pseudomonas_E entomophila_E, 95.0, 86.9, 0.274; GCF_029478665.1, s__Pseudomonas_E entomophila_F, 95.0, 86.89, 0.274; GCF_000425785.1, s__Pseudomonas_E taiwanensis, 95.0, 86.88, 0.306; GCF_004519305.1, s__Pseudomonas_E sp004519305, 95.0, 86.88, 0.288; GCF_003205295.1, s__Pseudomonas_E mosselii_B, 95.0, 86.87, 0.284; GCF_000026105.1, s__Pseudomonas_E entomophila, 95.0, 86.83, 0.268; GCF_024749165.1, s__Pseudomonas_E sp024749165, 95.0, 86.81, 0.277; GCF_019139895.1, s__Pseudomonas_E fakonensis, 95.0, 86.79, 0.266; GCF_029836165.1, s__Pseudomonas_E sp029836165, 95.0, 86.74, 0.283; GCF_015680235.1, s__Pseudomonas_E guariconensis_A, 95.0, 86.69, 0.234; GCF_004357765.1, s__Pseudomonas_E putida_U, 95.0, 86.62, 0.266; GCF_014268885.2, s__Pseudomonas_E xantholysinigenes, 95.0, 86.57, 0.271; GCF_020151015.1, s__Pseudomonas_E putida_K, 95.0, 86.48, 0.241; GCA_014268975.2, s__Pseudomonas_E wayambapalatensis, 95.0, 86.38, 0.241; GCF_029840925.1, s__Pseudomonas_E sp029840925, 95.0, 86.35, 0.26; GCF_000730645.1, s__Pseudomonas_E parafulva, 95.0, 86.32, 0.217; GCF_001636055.1, s__Pseudomonas_E putida_B, 95.0, 86.29, 0.259; GCF_015680295.1, s__Pseudomonas_E guariconensis_D, 95.0, 86.13, 0.226; GCF_015680245.1, s__Pseudomonas_E guariconensis_C, 95.0, 85.96, 0.219; GCF_007677725.1, s__Pseudomonas_E sp003445295, 95.0, 85.93, 0.225; GCF_014268805.2, s__Pseudomonas_E farsensis, 95.0, 85.93, 0.204; GCF_014269025.2, s__Pseudomonas_E promysalinigenes, 95.0, 85.92, 0.217; GCF_900102675.1, s__Pseudomonas_E guariconensis, 95.0, 85.86, 0.221; GCF_002741075.1, s__Pseudomonas_E putida_T, 95.0, 85.85, 0.22; GCF_005796105.1, s__Pseudomonas_E mosselii_C, 95.0, 85.51, 0.197; GCF_000800255.1, s__Pseudomonas_E parafulva_A, 95.0, 85.39, 0.175; GCF_002021815.1, s__Pseudomonas_E parafulva_B, 95.0, 85.03, 0.152	67.16	11	N/A	N/A
bin.JR.6	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Cellvibrionaceae;g__Cellvibrio;s__Cellvibrio sp004173475	GCA_004173475.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Cellvibrionaceae;g__Cellvibrio;s__Cellvibrio sp004173475	97.25	0.879	GCA_004173475.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Cellvibrionaceae;g__Cellvibrio;s__Cellvibrio sp004173475	97.25	0.879	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Cellvibrionaceae;g__Cellvibrio;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	91.22	11	N/A	N/A
bin.JR.7	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter sp004331285	GCF_004331285.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter sp004331285	98.84	0.933	GCF_004331285.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter sp004331285	98.84	0.933	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_001647545.1, s__Acinetobacter sp001647545, 95.0, 90.75, 0.674; GCF_013004375.1, s__Acinetobacter terrae, 95.0, 90.1, 0.58; GCF_004331155.1, s__Acinetobacter terrestris, 95.0, 90.0, 0.56; GCF_004336635.1, s__Acinetobacter sp004336635, 95.0, 89.85, 0.554; GCF_002135355.1, s__Acinetobacter sp002135355, 95.0, 85.93, 0.292; GCF_000367925.1, s__Acinetobacter bohemicus, 95.0, 85.93, 0.23; GCF_002365595.1, s__Acinetobacter sp002365595, 95.0, 85.75, 0.277; GCF_900107285.1, s__Acinetobacter kyonggiensis, 95.0, 85.36, 0.226; GCF_002135315.1, s__Acinetobacter sp002135315, 95.0, 85.29, 0.263; GCF_002135335.1, s__Acinetobacter sp002135335, 95.0, 85.19, 0.236; GCF_902753875.1, s__Acinetobacter bouvetii_A, 95.0, 84.56, 0.203; GCF_039543765.1, s__Acinetobacter kookii, 95.0, 84.56, 0.201; GCF_016599715.1, s__Acinetobacter sp002135245, 95.0, 84.48, 0.191	75.99	11	N/A	N/A
bin.JR.8	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Stutzerimonas;s__Stutzerimonas xanthomarina_A	GCA_032075095.1	97.09	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Stutzerimonas;s__Stutzerimonas xanthomarina_A	97.6	0.919	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Stutzerimonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have incongruent species assignments	GCA_032075095.1, s__Stutzerimonas xanthomarina_A, 97.09, 97.6, 0.919; GCF_900114065.1, s__Stutzerimonas kunmingensis, 97.09, 97.52, 0.904; GCA_018823765.1, s__Stutzerimonas sp018823765, 97.02, 97.47, 0.896; GCA_007713455.1, s__Stutzerimonas sp007713455, 97.08, 97.44, 0.915; GCF_000495915.1, s__Stutzerimonas chloritidismutans, 97.08, 97.42, 0.881; GCA_032074585.1, s__Stutzerimonas sp032074585, 97.07, 97.34, 0.88; GCF_032106285.1, s__Stutzerimonas kunmingensis_B, 97.08, 97.31, 0.905; GCF_014764705.1, s__Stutzerimonas sp002692525, 96.93, 97.31, 0.903; GCA_003530955.1, s__Stutzerimonas sp003530955, 95.0, 97.29, 0.824; GCF_002929225.1, s__Stutzerimonas sp003488145, 97.09, 97.28, 0.906; GCA_032105665.1, s__Stutzerimonas sp032105665, 96.13, 96.29, 0.789; GCA_030263805.2, s__Stutzerimonas stutzeri_G, 95.0, 93.5, 0.801; GCF_000661915.1, s__Stutzerimonas decontaminans, 95.0, 90.17, 0.579; GCF_024448335.1, s__Stutzerimonas frequens, 95.0, 89.89, 0.51; GCF_000327065.1, s__Stutzerimonas stutzeri_AE, 95.0, 89.56, 0.555; GCF_003696315.1, s__Stutzerimonas songnenensis, 95.0, 89.31, 0.555; GCF_015291885.1, s__Stutzerimonas stutzeri_AC, 95.0, 89.31, 0.493; GCF_002909485.1, s__Stutzerimonas stutzeri_AH, 95.0, 89.3, 0.478; GCF_038561965.1, s__Stutzerimonas stutzeri_AA, 95.0, 88.91, 0.463; GCF_000219605.1, s__Stutzerimonas stutzeri, 95.0, 88.77, 0.435; GCF_000307775.2, s__Stutzerimonas stutzeri_B, 95.0, 88.68, 0.375; GCF_002890915.1, s__Stutzerimonas stutzeri_AF, 95.0, 87.21, 0.259; GCF_025966695.1, s__Stutzerimonas sp025966695, 95.0, 87.12, 0.197; GCF_015070855.1, s__Stutzerimonas lopnurensis, 95.0, 87.08, 0.225; GCF_021726475.1, s__Stutzerimonas oligotrophica, 95.0, 86.24, 0.151; GCF_021432765.1, s__Stutzerimonas phenolilytica, 95.0, 86.17, 0.156; GCA_000263395.1, s__Stutzerimonas stutzeri_C, 95.0, 86.06, 0.169; GCF_024448505.1, s__Stutzerimonas degradans, 96.08, 85.83, 0.162	55.64	11	N/A	N/A
bin.JRP.2	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Microvirga;s__Microvirga tunisiensis	GCF_009296175.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Microvirga;s__Microvirga tunisiensis	98.89	0.938	GCF_009296175.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Microvirga;s__Microvirga tunisiensis	98.89	0.938	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Microvirga;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_018383585.1, s__Microvirga sp018383585, 95.0, 90.6, 0.638; GCA_000517005.1, s__Microvirga lupini, 95.0, 89.32, 0.461; GCF_036314085.1, s__Microvirga sp036314085, 95.0, 88.68, 0.412; GCA_023386155.1, s__Microvirga sp023386155, 95.0, 88.65, 0.352; GCA_035944695.1, s__Microvirga sp035944695, 95.0, 88.56, 0.324; GCF_016864375.1, s__Microvirga sp016864375, 95.0, 88.5, 0.366; GCF_013520865.1, s__Microvirga mediterraneensis, 95.0, 88.09, 0.303; GCF_003347665.1, s__Microvirga calopogonii, 95.0, 87.98, 0.301; GCF_034627025.1, s__Microvirga lotononidis, 95.0, 87.84, 0.304; GCF_013307435.2, s__Microvirga terrae, 95.0, 87.59, 0.338; GCF_024519725.1, s__Microvirga sp024519725, 95.0, 87.58, 0.279; GCF_025460805.1, s__Microvirga sesbaniae, 95.0, 87.5, 0.31; GCF_002741015.1, s__Microvirga ossetica, 95.0, 87.22, 0.256; GCF_014191055.1, s__Microvirga lupini_A, 95.0, 87.11, 0.17; GCF_016735695.1, s__Microvirga zambiensis, 95.0, 86.96, 0.221; GCF_016427565.1, s__Microvirga splendida, 95.0, 86.76, 0.172; GCF_016892765.1, s__Microvirga arvi, 95.0, 86.74, 0.177; GCF_014699075.1, s__Microvirga sp014699075, 95.0, 86.71, 0.157; GCF_016743775.1, s__Microvirga aerilata, 95.0, 86.65, 0.17; GCF_000739015.1, s__Microvirga sp000739015, 95.0, 86.65, 0.153; GCF_016811235.1, s__Microvirga arabica, 95.0, 86.59, 0.154; GCF_009910705.1, s__Microvirga arsenatis, 95.0, 86.51, 0.169; GCF_000518665.1, s__Microvirga flocculans, 95.0, 86.49, 0.157; GCF_036314045.1, s__Microvirga sp036314045, 95.0, 86.44, 0.155; GCF_015694425.1, s__Microvirga terrestris, 95.0, 86.37, 0.155; GCF_016734765.1, s__Microvirga soli, 95.0, 86.26, 0.168	52.24	11	N/A	N/A
bin.JS.10	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__JAMQPK01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__JAMQPK01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	57.86	11	0.9033	N/A
