genome	n_ribosomal_proteins	syn_GC_skew	syn_AT_skew	nonsyn_GC_skew	nonsyn_AT_skew	syn_G	syn_C	syn_A	syn_T	nonsyn_G	nonsyn_C	nonsyn_A	nonsyn_T
JRP__binette_bin3	15	0.039746	-0.020000	0.218635	0.157328	654	604	49	51	1491	956	1074	782
JRP__binette_bin4	49	-0.085828	-0.201684	0.193470	0.248804	458	544	948	1427	3911	2643	4176	2512
JR__binette_bin1	61	-0.230189	-0.416719	0.187728	0.220653	612	978	928	2254	5691	3892	5532	3532
JR__binette_bin10	63	-0.160556	-0.534809	0.149402	0.222459	332	459	872	2877	5193	3843	5171	3289
JR__binette_bin14	23	-0.318302	-0.537994	0.128856	0.197475	514	994	76	253	1958	1511	1707	1144
JR__binette_bin16	27	-0.162766	-0.060241	0.135593	0.151712	787	1093	78	88	2144	1632	1598	1177
JR__binette_bin17	37	-0.222390	-0.581137	0.195221	0.199745	771	1212	151	570	3101	2088	2823	1883
JR__binette_bin2	48	-0.006993	-0.239193	0.180116	0.252330	284	288	924	1505	3466	2408	3896	2326
JR__binette_bin21	34	-0.282792	-0.456376	0.182924	0.176264	894	1599	81	217	2965	2048	2339	1638
JR__binette_bin22	28	-0.233256	-0.409669	0.161746	0.205435	664	1068	116	277	2302	1661	1863	1228
JR__binette_bin3	47	0.000000	-0.102290	0.212198	0.222156	1194	1194	588	722	4333	2816	4082	2598
JR__binette_bin32	28	0.014164	-0.183039	0.217985	0.247763	179	174	578	837	2140	1374	2440	1471
JR__binette_bin4	31	-0.148148	-0.502844	0.141410	0.220991	184	248	437	1321	2591	1949	2699	1722
JR__binette_bin5	50	-0.226697	-0.818182	0.162230	0.199868	1373	2178	39	390	4191	3021	3635	2424
JR__binette_bin8	27	-0.100592	-0.602210	0.215686	0.178646	608	744	108	435	2201	1420	1976	1377
JR__binette_bin9	24	-0.320594	-0.275510	0.111633	0.214937	480	933	71	125	1658	1325	1399	904
JSP__binette_bin10	30	-0.154391	-0.228145	0.147415	0.242165	597	815	181	288	2086	1550	1962	1197
JSP__binette_bin14	6	-0.135135	-0.172414	0.177700	0.155556	192	252	12	17	507	354	416	304
JSP__binette_bin17	34	-0.152713	-0.067485	0.146270	0.176873	1093	1487	76	87	2927	2180	2239	1566
JSP__binette_bin2	36	0.076923	-0.172740	0.216677	0.305631	399	342	613	869	2816	1813	3629	1930
JSP__binette_bin25	12	-0.030168	-0.145455	0.143692	0.127343	434	461	94	126	1174	879	872	675
JSP__binette_bin26	15	-0.205263	-0.341772	0.162228	0.202899	453	687	52	106	1440	1038	1162	770
JSP__binette_bin28	15	-0.083333	-0.215947	0.155575	0.162338	407	481	118	183	1337	977	1253	903
