genome	n_ribosomal_proteins	syn_GC_skew	syn_AT_skew	nonsyn_GC_skew	nonsyn_AT_skew	syn_G	syn_C	syn_A	syn_T	nonsyn_G	nonsyn_C	nonsyn_A	nonsyn_T
bin.JR.1	45	0.008749	-0.105919	0.210855	0.223174	1153	1133	574	710	4172	2719	3927	2494
bin.JR.11	32	-0.234888	-0.826087	0.154492	0.194107	886	1430	24	252	2750	2014	2310	1559
bin.JR.12	7	-0.199346	-0.163636	0.173701	0.067146	245	367	23	32	723	509	445	389
bin.JR.2	19	-0.035461	-0.221176	0.171467	0.228070	136	146	331	519	1322	935	1505	946
bin.JR.3	28	-0.107548	-0.580986	0.211139	0.167411	668	829	119	449	2392	1558	2092	1492
bin.JR.6	55	-0.229805	-0.423404	0.188598	0.222465	553	883	813	2007	5108	3487	5028	3198
bin.JR.7	28	-0.133663	-0.493687	0.143824	0.223197	175	229	401	1183	2366	1771	2510	1594
bin.JR.8	30	-0.239620	-0.562500	0.199725	0.204534	641	1045	126	450	2622	1749	2391	1579
bin.JRP.2	19	-0.314831	-0.719008	0.116794	0.239631	395	758	34	208	1463	1157	1345	825
bin.JS.10	10	0.067344	0.000000	0.158213	0.161336	420	367	69	69	959	697	817	590
bin.JS.11	16	-0.142615	-0.111111	0.150857	0.196987	505	673	44	55	1377	1016	1033	693
bin.JS.12	15	-0.107212	-0.173913	0.155004	0.162147	458	568	76	108	1304	954	1050	757
bin.JS.16	18	-0.064047	-0.170029	0.168727	0.166542	643	731	144	203	1891	1345	1562	1116
bin.JS.17	22	-0.027834	-0.104089	0.180285	0.173042	716	757	241	297	2239	1555	1932	1362
bin.JS.19	32	-0.133858	-0.369818	0.167039	0.125226	1100	1440	190	413	3392	2421	2489	1935
bin.JS.22	27	0.003247	-0.075391	0.160758	0.228188	618	614	325	378	2112	1527	2013	1265
bin.JS.5	14	-0.007797	-0.213389	0.179505	0.232753	509	517	188	290	1692	1177	1769	1101
bin.JS.7	8	-0.132409	-0.350000	0.203625	0.196512	344	449	26	54	996	659	892	599
